Barcode	Total
R05_C12W1_1	52
R05_C12W1_2	36
P21502_101_C12W1_1*	675
P21502_101_C12W1_2	215
P21502_102_C12W1_1	122
P21502_102_C12W1_2	113
P21502_103_C12W1_1	128
P21502_103_C12W1_2**	300
P21502_104_C12W1_1	212
P21502_104_C12W1_2	132
P21502_105_C12W1_1	203
P21502_105_C12W1_2	277
P21502_106_C12W1_1	139
P21502_106_C12W1_2	154
P21502_108_C12W1_1*	86
P21502_108_C12W1_2	68
P21502_109_C12W1_1	232
P21502_109_C12W1_2	148
P21502_111_C12W1_1	195
P21502_111_C12W1_2	251
P21502_112_C12W1_1	469
P21502_112_C12W1_2**	300
P21502_113_C12W1_1	295
P21502_113_C12W1_2	310
P21502_114_C12W1_1	347
P21502_114_C12W1_2	628
P21502_116_C12W1_1*	150
P21502_116_C12W1_2	196
P21502_117_C12W1_1	339
P21502_117_C12W1_2	252
P21502_118_C12W1_1	333
P21502_118_C12W1_2	284
P21502_119_C12W1_1	330
P21502_119_C12W1_2	286
P21502_119_C12W1_3	230
P21502_120_C12W1_1	215
P21502_120_C12W1_2	137
P21502_121_C12W1_1	196
P21502_121_C12W1_2**	592
P21502_122_C12W1_1	569
P21502_122_C12W1_2	536
P21502_123_C12W1_1	60
P21502_123_C12W1_2	211
P21502_124_C12W1_1	776
P21502_124_C12W1_2	116
P21502_125_C12W1_1	279
P21502_125_C12W1_2	355
P21502_126_C12W1_1	181
P21502_126_C12W1_2	173
P21502_127_C12W1_1*	130
P21502_127_C12W1_2	198
P21502_128_C12W1_1	97
P21502_128_C12W1_2	114
P21502_107_C12W1_1*	675
P21502_107_C12W1_2	374
P21502_110_C12W1_1	203
P21502_110_C12W1_2**	592
P21502_129_C12W1_1	0
P21502_129_C12W1_2	0
P21502_130_C12W1_1	0
P21502_130_C12W1_2	0
P21502_131_C12W1_1	0
P21502_131_C12W1_2	0
P21502_132_C12W1_1	0
P21502_132_C12W1_2	0
P21502_133_C12W1_1	0
P21502_133_C12W1_2	0
P21502_134_C12W1_1	0
P21502_134_C12W1_2	0
P21502_135_C12W1_1	0
P21502_135_C12W1_2	0
P21502_136_C12W1_1	0
P21502_136_C12W1_2**	300
P21502_137_C12W1_1	0
P21502_137_C12W1_2	0
P21502_138_C12W1_1	0
P21502_138_C12W1_2	0
P21502_139_C12W1_1	0
P21502_139_C12W1_2	0
P21502_140_C12W1_1	0
P21502_140_C12W1_2	0
P21502_141_C12W1_1	0
P21502_141_C12W1_2	0
P21502_141_C12W1_3	0
P21502_142_C12W1_1	0
P21502_142_C12W1_2*	130
P21502_143_C12W1_1	0
P21502_143_C12W1_2	0
P21502_144_C12W1_1	0
P21502_144_C12W1_2	0
P21502_145_C12W1_1	0
P21502_145_C12W1_2*	150
P21502_146_C12W1_1	0
P21502_146_C12W1_2	0
P21502_147_C12W1_1*	86
P21502_147_C12W1_2	0
P21502_148_C12W1_1	0
P21502_148_C12W1_2	0
P21502_149_C12W1_1	0
P21502_149_C12W1_2	0
P21502_150_C12W1_1	0
P21502_150_C12W1_2	0
P21502_151_C12W1_1	0
P21502_151_C12W1_2	0
P21502_152_C12W1_1**	592
P21502_152_C12W1_2	0
P21502_153_C12W1_1	0
P21502_153_C12W1_2	0
P21502_154_C12W1_1	0
P21502_154_C12W1_2	0
P21502_155_C12W1_1	0
P21502_155_C12W1_2	0
P21502_156_C12W1_1	0
P21502_156_C12W1_2	0
Unknown1_VGx_C12W1_1	0
Unknown1_VGx_C12W1_2	0
Unknown2_VGy_C12W1_1	0
Unknown2_VGy_C12W1_2	0
