Barcode	Total
R05_C12W1_1	34
R05_C12W1_2	31
P21502_101_C12W1_1*	596
P21502_101_C12W1_2	335
P21502_102_C12W1_1	205
P21502_102_C12W1_2	174
P21502_103_C12W1_1	205
P21502_103_C12W1_2**	323
P21502_104_C12W1_1	185
P21502_104_C12W1_2	141
P21502_105_C12W1_1	289
P21502_105_C12W1_2	267
P21502_106_C12W1_1	159
P21502_106_C12W1_2	122
P21502_108_C12W1_1*	145
P21502_108_C12W1_2	93
P21502_109_C12W1_1	224
P21502_109_C12W1_2	192
P21502_111_C12W1_1	255
P21502_111_C12W1_2	247
P21502_112_C12W1_1	610
P21502_112_C12W1_2**	323
P21502_113_C12W1_1	252
P21502_113_C12W1_2	306
P21502_114_C12W1_1	403
P21502_114_C12W1_2	758
P21502_116_C12W1_1*	380
P21502_116_C12W1_2	198
P21502_117_C12W1_1	400
P21502_117_C12W1_2	440
P21502_118_C12W1_1	343
P21502_118_C12W1_2	440
P21502_119_C12W1_1	214
P21502_119_C12W1_2	192
P21502_119_C12W1_3	221
P21502_120_C12W1_1	193
P21502_120_C12W1_2	122
P21502_121_C12W1_1	195
P21502_121_C12W1_2**	487
P21502_122_C12W1_1	804
P21502_122_C12W1_2	690
P21502_123_C12W1_1	253
P21502_123_C12W1_2	196
P21502_124_C12W1_1	841
P21502_124_C12W1_2	285
P21502_125_C12W1_1	422
P21502_125_C12W1_2	271
P21502_126_C12W1_1	165
P21502_126_C12W1_2	265
P21502_127_C12W1_1*	223
P21502_127_C12W1_2	198
P21502_128_C12W1_1	122
P21502_128_C12W1_2	132
P21502_107_C12W1_1*	596
P21502_107_C12W1_2	385
P21502_110_C12W1_1	239
P21502_110_C12W1_2**	487
P21502_129_C12W1_1	0
P21502_129_C12W1_2	0
P21502_130_C12W1_1	0
P21502_130_C12W1_2	0
P21502_131_C12W1_1	0
P21502_131_C12W1_2	0
P21502_132_C12W1_1	0
P21502_132_C12W1_2	0
P21502_133_C12W1_1	0
P21502_133_C12W1_2	0
P21502_134_C12W1_1	0
P21502_134_C12W1_2	0
P21502_135_C12W1_1	0
P21502_135_C12W1_2	0
P21502_136_C12W1_1	0
P21502_136_C12W1_2**	323
P21502_137_C12W1_1	0
P21502_137_C12W1_2	0
P21502_138_C12W1_1	0
P21502_138_C12W1_2	0
P21502_139_C12W1_1	0
P21502_139_C12W1_2	0
P21502_140_C12W1_1	0
P21502_140_C12W1_2	0
P21502_141_C12W1_1	0
P21502_141_C12W1_2	0
P21502_141_C12W1_3	0
P21502_142_C12W1_1	0
P21502_142_C12W1_2*	223
P21502_143_C12W1_1	0
P21502_143_C12W1_2	0
P21502_144_C12W1_1	0
P21502_144_C12W1_2	0
P21502_145_C12W1_1	0
P21502_145_C12W1_2*	380
P21502_146_C12W1_1	0
P21502_146_C12W1_2	0
P21502_147_C12W1_1*	145
P21502_147_C12W1_2	0
P21502_148_C12W1_1	0
P21502_148_C12W1_2	0
P21502_149_C12W1_1	0
P21502_149_C12W1_2	0
P21502_150_C12W1_1	0
P21502_150_C12W1_2	0
P21502_151_C12W1_1	0
P21502_151_C12W1_2	0
P21502_152_C12W1_1**	487
P21502_152_C12W1_2	0
P21502_153_C12W1_1	0
P21502_153_C12W1_2	0
P21502_154_C12W1_1	0
P21502_154_C12W1_2	0
P21502_155_C12W1_1	0
P21502_155_C12W1_2	0
P21502_156_C12W1_1	0
P21502_156_C12W1_2	0
Unknown1_VGx_C12W1_1	0
Unknown1_VGx_C12W1_2	0
Unknown2_VGy_C12W1_1	0
Unknown2_VGy_C12W1_2	0
