Barcode	Total
R05_C12W1_1	0
R05_C12W1_2	0
P21502_101_C12W1_1*	0
P21502_101_C12W1_2	0
P21502_102_C12W1_1	0
P21502_102_C12W1_2	0
P21502_103_C12W1_1	0
P21502_103_C12W1_2**	0
P21502_104_C12W1_1	0
P21502_104_C12W1_2	0
P21502_105_C12W1_1	0
P21502_105_C12W1_2	0
P21502_106_C12W1_1	0
P21502_106_C12W1_2	0
P21502_108_C12W1_1*	288
P21502_108_C12W1_2	0
P21502_109_C12W1_1	0
P21502_109_C12W1_2	0
P21502_111_C12W1_1	0
P21502_111_C12W1_2	0
P21502_112_C12W1_1	0
P21502_112_C12W1_2**	0
P21502_113_C12W1_1	0
P21502_113_C12W1_2	0
P21502_114_C12W1_1	0
P21502_114_C12W1_2	0
P21502_116_C12W1_1*	436
P21502_116_C12W1_2	0
P21502_117_C12W1_1	0
P21502_117_C12W1_2	0
P21502_118_C12W1_1	0
P21502_118_C12W1_2	0
P21502_119_C12W1_1	0
P21502_119_C12W1_2	0
P21502_119_C12W1_3	0
P21502_120_C12W1_1	0
P21502_120_C12W1_2	0
P21502_121_C12W1_1	0
P21502_121_C12W1_2**	127
P21502_122_C12W1_1	0
P21502_122_C12W1_2	0
P21502_123_C12W1_1	0
P21502_123_C12W1_2	0
P21502_124_C12W1_1	0
P21502_124_C12W1_2	0
P21502_125_C12W1_1	0
P21502_125_C12W1_2	0
P21502_126_C12W1_1	0
P21502_126_C12W1_2	0
P21502_127_C12W1_1*	538
P21502_127_C12W1_2	0
P21502_128_C12W1_1	0
P21502_128_C12W1_2	0
P21502_107_C12W1_1*	0
P21502_107_C12W1_2	0
P21502_110_C12W1_1	0
P21502_110_C12W1_2**	127
P21502_129_C12W1_1	167
P21502_129_C12W1_2	847
P21502_130_C12W1_1	768
P21502_130_C12W1_2	422
P21502_131_C12W1_1	181
P21502_131_C12W1_2	322
P21502_132_C12W1_1	142
P21502_132_C12W1_2	86
P21502_133_C12W1_1	204
P21502_133_C12W1_2	31
P21502_134_C12W1_1	183
P21502_134_C12W1_2	103
P21502_135_C12W1_1	185
P21502_135_C12W1_2	240
P21502_136_C12W1_1	137
P21502_136_C12W1_2**	0
P21502_137_C12W1_1	534
P21502_137_C12W1_2	241
P21502_138_C12W1_1	179
P21502_138_C12W1_2	0
P21502_139_C12W1_1	220
P21502_139_C12W1_2	542
P21502_140_C12W1_1	317
P21502_140_C12W1_2	151
P21502_141_C12W1_1	430
P21502_141_C12W1_2	384
P21502_141_C12W1_3	172
P21502_142_C12W1_1	365
P21502_142_C12W1_2*	538
P21502_143_C12W1_1	206
P21502_143_C12W1_2	321
P21502_144_C12W1_1	224
P21502_144_C12W1_2	56
P21502_145_C12W1_1	272
P21502_145_C12W1_2*	436
P21502_146_C12W1_1	151
P21502_146_C12W1_2	196
P21502_147_C12W1_1*	288
P21502_147_C12W1_2	114
P21502_148_C12W1_1	1236
P21502_148_C12W1_2	773
P21502_149_C12W1_1	248
P21502_149_C12W1_2	101
P21502_150_C12W1_1	538
P21502_150_C12W1_2	536
P21502_151_C12W1_1	253
P21502_151_C12W1_2	309
P21502_152_C12W1_1**	127
P21502_152_C12W1_2	77
P21502_153_C12W1_1	250
P21502_153_C12W1_2	478
P21502_154_C12W1_1	0
P21502_154_C12W1_2	61
P21502_155_C12W1_1	53
P21502_155_C12W1_2	75
P21502_156_C12W1_1	0
P21502_156_C12W1_2	66
Unknown1_VGx_C12W1_1	240
Unknown1_VGx_C12W1_2	107
Unknown2_VGy_C12W1_1	123
Unknown2_VGy_C12W1_2	131
