"GP2-4_26"	"GP2-4_27"	"GP2-4_28"	"GP2-4_29"	"GP2-4_31"	"GP2-4_32"	"GP2-4_39"	"GP2-4_40"	"GP2-4_42"	"GP2-4_43"	"GP2-4_47"	"GP2-4_51"	"GP2-4_52"	"GP2-4_54"	"GP2-4_55"	"GP2-4_56"	"GP2-4_57"	"GP2-4_61"	"GP2-4_63"	"GP2-4_67"	"GP2-4_68"	"GP2-4_69"	"GP2-4_70"	"GP2-4_71"	"GP2-4_72"	"VG1-2_103"	"VG1-2_104"	"VG1-2_105"	"VG1-2_106"	"VG1-2_107"	"VG1-2_44"	"VG1-2_45"	"VG1-2_49"	"VG1-2_56"	"VG1-2_58"	"VG1-2_61"	"VG1-2_63"	"VG1-2_64"	"VG1-2_66"	"VG1-2_67"	"VG1-2_72"	"VG1-2_74"	"VG1-2_78"	"VG1-2_81"	"VG1-2_83"	"VG1-2_85"	"VG1-2_86"	"VG1-2_88"	"VG1-2_89"	"VG1-2_90"	"VG1-2_93"	"VG1-2_94"	"VG1-2_95"
1.8027329	2.5095322	1.4139167	1.5825231	1.2591479	1.6997805	1.1683518	1.302718	1.7701184	1.1606214	1.0410167	1.6869121	1.6516767	1.9657875	1.5811812	1.4882212	1.3508788	1.8921133	1.601781	1.6003928	1.5109433	1.2295102	1.3310143	1.9833867	1.4829451	1.9083344	1.2573514	1.3869321	1.4097269	1.9796475	1.5704904	1.6503374	1.4256869	1.2688307	1.1032997	1.6785512	1.230056	1.5534367	1.7109212	1.8516747	1.2325586	1.2535973	1.699118	2.3131574	1.3546067	2.4511644	1.3937916	1.7142862	2.449899	1.4526852	1.5456304	1.2679226	1.6308134
2.8642424	1.6571907	2.4395978	1.9679415	1.832444	1.9242782	1.5278859	1.836807	2.3214279	2.3430297	1.915289	2.2575676	1.3308004	2.0535185	1.8029864	1.6505192	2.4721658	1.805585	2.0830678	1.7675658	2.0759284	1.8897268	1.6341362	2.0856722	2.0382857	1.5400637	4.0347008	2.0476121	2.5418683	1.5907016	2.3085607	1.8734617	1.4912997	1.4352369	2.2281177	1.6805957	1.863554	1.6031309	1.5248239	1.7273107	1.7568114	3.1622394	1.65432	1.9779271	1.7854732	2.138393	2.1640906	2.5508384	2.4524503	1.901718	2.1561308	2.224928	1.5418686
1.0485613	0.8035403	1.8204961	1.3366321	1.6079085	1.9554194	1.4557519	1.933254	1.3384888	0.7775578	1.0380626	1.3332028	1.1709265	1.3506072	0.9020356	1.3411645	1.3117297	1.0414062	0.700518	1.6660897	1.5929373	0.9741795	0.8652248	1.524738	1.5302316	1.6943794	1.7496329	1.6329584	1.8405618	1.2881508	1.0602028	1.3893829	0.8746806	1.0403645	1.1208952	1.2353957	1.036074	1.1967684	1.5032525	1.0309954	1.0090283	0.9423142	1.687331	1.4521098	1.1798379	1.4012236	1.8830771	1.3635073	1.7598255	1.3099464	1.3794608	1.1348192	1.2005588
1.2299581	1.4776879	1.2620402	1.7974266	1.4426084	1.6856903	1.4844489	1.731441	1.5722192	1.4393307	2.3831364	1.1092546	1.3810234	1.2847229	1.5775086	1.1470107	1.0635207	1.3864295	1.5804866	1.6563321	0.9265752	0.58065	1.7218758	1.3334308	1.5626482	0.7762576	0.5919818	0.7246893	1.1966825	1.2456461	1.1052181	1.0382117	0.4315801	1.4037765	1.070747	1.1744645	1.43249	1.5043994	1.1183159	1.6320895	0.9615463	1.650725	1.378183	0.6857698	1.6057416	1.3940634	1.3791955	1.4205888	1.6589666	1.2093907	1.2532188	1.2035092	1.5666363
2.2615868	3.3756702	3.0124864	4.3716902	2.5347877	5.3232705	3.933658	3.271133	4.5663153	3.3236973	5.8135593	2.3303	3.265837	3.3470432	3.1708118	3.7653222	3.0016183	2.971271	3.3490491	3.1996461	2.7100518	2.6566644	2.9370359	2.4155422	3.6752305	2.1517944	2.5210363	1.71453	2.4332245	2.340761	2.0120458	2.4735536	1.8873427	2.2696493	2.7665624	2.7923948	3.572403	2.9880016	2.4686595	2.6319424	2.569008	3.7239817	2.863976	2.3801969	2.4105253	3.0624347	3.287271	3.5093208	2.5468948	2.4197177	2.8935579	1.9555195	2.7215465
0.9484185	0.8701302	1.2931402	0.8534175	1.0655594	1.0523396	0.8322781	1.206561	0.9749818	1.0580208	0.8274591	1.1499771	1.0616915	0.8999401	0.9601844	0.8718322	0.9936187	0.8716877	0.9881317	0.9218349	0.9881565	0.8742885	0.8663124	1.0351566	0.8692158	0.9218036	0.98027	0.9285935	0.9739575	0.8854846	0.952064	0.9388144	1.0804147	1.0441373	0.9013156	0.8959694	1.162673	1.0135314	1.0453181	0.9070736	0.96838	0.9281369	1.07812	1.8650442	0.9741658	1.050499	0.909348	0.9118833	1.0202695	0.9553506	1.0849028	0.8499181	1.3650178
1.7244585	0.6587546	0.9564871	1.3121494	0.8038461	1.154536	0.9550885	1.636276	1.1684404	0.8284667	0.5070858	1.319596	1.1375741	0.7899996	1.3565444	1.0539931	1.2170641	0.9082451	0.8452019	1.5855144	1.280633	0.9504137	1.1884109	0.7556875	1.8083136	1.3121264	0.81947	1.4782915	1.0727164	0.7779706	0.9434973	1.4566994	0.8352605	0.9244684	1.1880103	0.9609699	1.097781	0.8659339	0.6839309	1.3383088	0.8275967	0.9733353	0.942053	1.0639027	1.0948699	0.9449326	1.1459829	1.0481012	0.8687979	0.7038514	0.7581882	0.9195568	1.0953132
1.0559058	0.7588973	0.9217656	0.8664514	1.0784359	0.9917932	0.8908818	1.064264	1.2536952	0.7724529	0.8267048	0.9008255	0.9942905	1.0777382	0.9548269	1.0152402	0.8687132	0.9542171	1.8745015	1.1504309	0.9916998	1.0555518	0.8921124	1.1258524	1.0041288	0.9325928	0.9446464	0.7421309	0.8699034	1.1563621	0.7870304	0.9806282	0.9499458	1.047771	0.8279284	1.2165429	1.047458	0.9367087	0.9681611	0.7417328	0.9468544	0.9112898	1.101252	0.9538979	1.0216609	0.9715309	0.9087662	1.037638	0.7774104	0.941223	0.8086917	0.8583955	0.951147
1.701094	1.612129	1.740416	1.224995	1.708293	1.237691	1.691738	1.944082	1.083941	1.772243	1.637659	1.357311	1.607111	0	1.520461	1.624551	1.154829	1.75998	1.67675	1.603765	1.278966	1.815246	1.625365	1.672194	1.509243	1.837278	0	0	1.366768	1.861261	1.700572	1.557723	1.639749	1.826213	1.646258	1.639419	1.816319	1.670631	1.79251	1.765407	1.763273	1.758174	1.743618	1.793392	1.657444	1.702276	1.669605	1.438053	0	1.762302	1.463233	1.590992	2.00698
0.6709258	0.63795546	0.16977863	0.21487117	0.56882645	0.40681285	0.45958359	0.35828793	0.53258979	0.31676563	0.01037468	0.01031597	0.60252001	-0.02050876	0.17880607	0.09356158	0.12010042	0.37583004	0.57659814	0.62359012	0	0.26208682	0.53504263	0.56166341	0.7071027	0	0	0.51129072	0	0	0.09841532	0.68427111	0.29423514	0.59001889	0	0.3904531	0.20328677	0.20823591	0.46647058	0.29796097	0.2532285	0.80648157	0.20553967	0.8159223	0	0	0.07045557	0.20593667	0.10074853	0.19209729	0	0	0.2867549
0.394408417	0.395722288	0.097550578	0.175405799	0.332979418	0.328686962	0.271663502	0.184296685	0.491345634	0.178737163	0.00633507	0.007600295	0.374908862	0	0.117599913	0.057592263	0.10399847	0.213542168	0.343878466	0.38882877	0	0.144380859	0.32918298	0.335884142	0.468514812	0	0	0	0	0	0.057871892	0.439276434	0.17943918	0.323083349	0	0.238165498	0.111922385	0.124645099	0.260233212	0.168777515	0.143612724	0.458703967	0.11788113	0.454960262	0	0	0.042198943	0.143205211	0	0.109003599	0	0	0.142878804
4.225059	6.000238	4.804578	6.631511	7.16207	6.758124	5.671093	6.90898	6.090943	6.053004	5.948975	5.807559	4.492141	7.257883	6.336208	8.479004	4.741504	6.459723	5.967782	6.144435	5.353999	6.126542	6.283607	5.347708	5.972249	5.90203	6.348767	6.974112	6.382794	5.812713	4.693727	6.011577	5.993838	5.797716	5.633383	5.564189	6.940925	4.570445	5.892832	4.431218	5.559649	6.167399	6.269738	6.887845	5.905847	5.494677	6.293851	5.127257	8.625784	5.081489	6.102961	5.669404	7.150916
7.099693	7.787778	6.778702	7.764967	8.37586	8.469166	7.717817	7.438101	7.393494	7.802145	7.884533	7.815013	7.281313	8.481883	7.967031	8.76664	7.21051	8.355752	8.32193	8.314339	7.420154	7.840331	8.163262	7.404183	8.359733	7.92493	8.48553	9.308027	8.178532	8.130998	7.165394	8.144762	7.498324	8.01207	7.962025	7.541875	8.235104	7.346267	8.306541	6.219538	7.681773	8.656346	7.886392	9.952648	7.747013	7.687675	7.960148	7.949194	9.450204	7.916109	7.808207	7.563849	8.621941
9.505076	9.017292	8.225938	8.485222	9.146429	9.614817	9.177573	7.753155	8.244505	8.998889	9.23736	9.234495	9.552732	9.258507	9.06178	8.932603	9.126583	9.6565	10.032451	9.855209	8.914383	9.006438	9.457069	8.890302	10.099487	9.352965	9.988632	10.948022	9.401577	9.819469	9.089133	9.661009	8.504329	9.609975	9.671446	8.948058	9.065899	9.592543	10.074814	7.525385	9.212925	10.473787	8.97194	12.240633	9.023743	9.285142	9.083741	10.171404	9.947797	10.156413	8.968278	8.894654	9.578055
2.249691	1.502822	1.712104	1.279531	1.277065	1.422705	1.618308	1.122185	1.353568	1.486681	1.552765	1.590082	2.126543	1.275648	1.430158	1.053497	1.924829	1.494878	1.681102	1.603924	1.664995	1.470069	1.505038	1.662451	1.691069	1.584703	1.573318	1.569809	1.472956	1.689309	1.936443	1.607067	1.418845	1.657545	1.71681	1.608151	1.306151	2.09882	1.709673	1.698266	1.657106	1.69825	1.430991	1.777135	1.527934	1.689843	1.443272	1.983791	1.153263	1.998708	1.469496	1.568887	1.339416
1.40785677	1.52934654	1.50481852	1.29824925	1.14973558	1.16931731	1.48447678	1.32460855	0.06304771	1.51981423	1.54245118	0.7829367	1.51046121	1.26039965	1.39848928	1.10618615	1.27730564	1.48768826	1.54674619	1.55182294	1.41451804	1.52405009	1.46026202	0.77812855	1.57937348	1.86078132	1.58298271	1.54950359	1.31594626	1.72430081	1.58456999	1.32856972	1.48391166	1.6267213	1.5209429	1.6109705	0.56865957	1.58192804	1.37028128	1.67685146	1.73919037	1.88724372	1.85420308	1.78333412	1.68453929	1.50883097	1.53657967	1.46297308	0.69777943	1.53348064	1.35944822	1.42832058	1.41656964
0.62	0.67	0.65	0.65	0.64	0.63	0.65	0.62	0.58	0.62	0.63	0.64	0.63	0.58	0.6	0.62	0.58	0.61	0.62	0.6	0.57	0.61	0.61	0.66	0.63	0.66	0.66	0.64	0.64	0.67	0.64	0.64	0.63	0.62	0.64	0.64	0.65	0.65	0.63	0.66	0.65	0.65	0.64	0.67	0.66	0.65	0.66	0.66	0.64	0.65	0.62	0.66	0.67
0.9252446	0.7499086	0.7486746	1.1982301	1.2285656	0.9728908	0.7214819	0.8919963	1.2396339	0.8214917	0.9298197	1.1153306	1.1776583	0.7485509	0.8516884	0.9336571	0.8869226	0.846772	1.0006219	1.0197036	0.7846743	0.7804288	0.7842513	1.0696927	0.9194499	0.7547303	1.1755102	1.2466297	1.1702265	1.1049525	0.8776618	1.1001364	0.9584629	0.9197906	0.7774693	1.111495	0.966	0.9901166	0.7931973	1.214727	1.0313173	1.052671	0.8892785	0.6851199	1.1420366	1.051505	0.9034097	1.1367533	1.1440178	1.1217226	1.2023607	0.6146569	1.1158371
0.2175569885	0.2114377381	0.0187895941	0.0211358667	0.351473648	0.4826245338	0.241176789	0	0.0002080932	0.2061228569	0.3013342795	0.1446069052	0.2612471759	0.4812144897	0.2390356327	0.8661960454	0.1491431869	0.5559985261	0.6050654286	0.5853754993	0.1339682229	0.2153189908	0.4251750514	0.0701134044	0.6401229902	0.4140413097	0.6945377234	1.0832802518	0.3772755692	0.5622805842	0.17394503	0.4157848221	0.0385037776	0.450193352	0.4171108707	0.1710895823	0.1312346992	0.2892929874	0.5337645809	0.0002700718	0.2864293981	0.9470707906	0.2560757385	1.3791022505	0.2286039462	0.2674487814	0.2690244085	0.4655391051	0.6600173882	0.4773372702	0.1757225998	0.1390195398	0.6856140925
