Barcode	Total	Primer 1	Primer 2
R05_C12W1_1	10	1	9
R05_C12W1_2	0	0	0
P21502_101_C12W1_1*	5870	2356	3514
P21502_101_C12W1_2	3777	1567	2210
P21502_102_C12W1_1	2145	873	1272
P21502_102_C12W1_2	1916	790	1126
P21502_103_C12W1_1	55	23	32
P21502_103_C12W1_2**	37	16	21
P21502_104_C12W1_1	21	10	11
P21502_104_C12W1_2	25	10	15
P21502_105_C12W1_1	833	328	505
P21502_105_C12W1_2	790	340	450
P21502_106_C12W1_1	389	153	236
P21502_106_C12W1_2	264	110	154
P21502_108_C12W1_1*	180	83	97
P21502_108_C12W1_2	147	72	75
P21502_109_C12W1_1	273	106	167
P21502_109_C12W1_2	152	58	94
P21502_111_C12W1_1	999	409	590
P21502_111_C12W1_2	1016	407	609
P21502_112_C12W1_1	229	101	128
P21502_112_C12W1_2**	37	16	21
P21502_113_C12W1_1	7	1	6
P21502_113_C12W1_2	0	0	0
P21502_114_C12W1_1	11	3	8
P21502_114_C12W1_2	28	14	14
P21502_116_C12W1_1*	37	12	25
P21502_116_C12W1_2	17	7	10
P21502_117_C12W1_1	3	0	3
P21502_117_C12W1_2	0	0	0
P21502_118_C12W1_1	1070	441	629
P21502_118_C12W1_2	1208	464	744
P21502_119_C12W1_1	0	0	0
P21502_119_C12W1_2	0	0	0
P21502_119_C12W1_3	3	1	2
P21502_120_C12W1_1	0	0	0
P21502_120_C12W1_2	3	0	3
P21502_121_C12W1_1	0	0	0
P21502_121_C12W1_2**	3237	1320	1917
P21502_122_C12W1_1	27	14	13
P21502_122_C12W1_2	72	23	49
P21502_123_C12W1_1	90	36	54
P21502_123_C12W1_2	180	74	106
P21502_124_C12W1_1	3986	1621	2365
P21502_124_C12W1_2	854	335	519
P21502_125_C12W1_1	2045	846	1199
P21502_125_C12W1_2	1338	558	780
P21502_126_C12W1_1	0	0	0
P21502_126_C12W1_2	0	0	0
P21502_127_C12W1_1*	96	33	63
P21502_127_C12W1_2	89	38	51
P21502_128_C12W1_1	379	157	222
P21502_128_C12W1_2	292	100	192
P21502_107_C12W1_1*	5870	2356	3514
P21502_107_C12W1_2	2269	907	1362
P21502_110_C12W1_1	2640	1033	1607
P21502_110_C12W1_2**	3237	1320	1917
P21502_129_C12W1_1	0	0	0
P21502_129_C12W1_2	0	0	0
P21502_130_C12W1_1	0	0	0
P21502_130_C12W1_2	0	0	0
P21502_131_C12W1_1	0	0	0
P21502_131_C12W1_2	0	0	0
P21502_132_C12W1_1	0	0	0
P21502_132_C12W1_2	0	0	0
P21502_133_C12W1_1	0	0	0
P21502_133_C12W1_2	0	0	0
P21502_134_C12W1_1	2	1	1
P21502_134_C12W1_2	8	5	3
P21502_135_C12W1_1	0	0	0
P21502_135_C12W1_2	0	0	0
P21502_136_C12W1_1	0	0	0
P21502_136_C12W1_2**	37	16	21
P21502_137_C12W1_1	0	0	0
P21502_137_C12W1_2	2	1	1
P21502_138_C12W1_1	0	0	0
P21502_138_C12W1_2	0	0	0
P21502_139_C12W1_1	0	0	0
P21502_139_C12W1_2	0	0	0
P21502_140_C12W1_1	0	0	0
P21502_140_C12W1_2	0	0	0
P21502_141_C12W1_1	1	1	0
P21502_141_C12W1_2	0	0	0
P21502_141_C12W1_3	1	1	0
P21502_142_C12W1_1	0	0	0
P21502_142_C12W1_2*	96	33	63
P21502_143_C12W1_1	1	1	0
P21502_143_C12W1_2	0	0	0
P21502_144_C12W1_1	1	0	1
P21502_144_C12W1_2	0	0	0
P21502_145_C12W1_1	0	0	0
P21502_145_C12W1_2*	37	12	25
P21502_146_C12W1_1	0	0	0
P21502_146_C12W1_2	0	0	0
P21502_147_C12W1_1*	180	83	97
P21502_147_C12W1_2	0	0	0
P21502_148_C12W1_1	0	0	0
P21502_148_C12W1_2	0	0	0
P21502_149_C12W1_1	0	0	0
P21502_149_C12W1_2	0	0	0
P21502_150_C12W1_1	3	1	2
P21502_150_C12W1_2	0	0	0
P21502_151_C12W1_1	0	0	0
P21502_151_C12W1_2	0	0	0
P21502_152_C12W1_1**	3237	1320	1917
P21502_152_C12W1_2	0	0	0
P21502_153_C12W1_1	0	0	0
P21502_153_C12W1_2	0	0	0
P21502_154_C12W1_1	1	0	1
P21502_154_C12W1_2	1	0	1
P21502_155_C12W1_1	4	1	3
P21502_155_C12W1_2	0	0	0
P21502_156_C12W1_1	0	0	0
P21502_156_C12W1_2	0	0	0
Unknown1_VGx_C12W1_1	0	0	0
Unknown1_VGx_C12W1_2	0	0	0
Unknown1_VGy_C12W1_1	0	0	0
Unknown1_VGy_C12W1_2	0	0	0
