Barcode	Total	Primer 1	Primer 2
R05_C12W1_1	4	2	2
R05_C12W1_2	1	0	1
P21502_101_C12W1_1*	1172	537	635
P21502_101_C12W1_2	813	353	460
P21502_102_C12W1_1	721	285	436
P21502_102_C12W1_2	587	249	338
P21502_103_C12W1_1	0	0	0
P21502_103_C12W1_2**	98	53	45
P21502_104_C12W1_1	20	6	14
P21502_104_C12W1_2	6	2	4
P21502_105_C12W1_1	687	288	399
P21502_105_C12W1_2	759	301	458
P21502_106_C12W1_1	383	142	241
P21502_106_C12W1_2	293	130	163
P21502_108_C12W1_1*	119	48	71
P21502_108_C12W1_2	70	29	41
P21502_109_C12W1_1	15	7	8
P21502_109_C12W1_2	14	7	7
P21502_111_C12W1_1	535	213	322
P21502_111_C12W1_2	436	196	240
P21502_112_C12W1_1	154	65	89
P21502_112_C12W1_2**	98	53	45
P21502_113_C12W1_1	30	17	13
P21502_113_C12W1_2	21	10	11
P21502_114_C12W1_1	16	3	13
P21502_114_C12W1_2	20	9	11
P21502_116_C12W1_1*	3	0	3
P21502_116_C12W1_2	1	1	0
P21502_117_C12W1_1	8	3	5
P21502_117_C12W1_2	19	8	11
P21502_118_C12W1_1	1768	758	1010
P21502_118_C12W1_2	1924	804	1120
P21502_119_C12W1_1	3	1	2
P21502_119_C12W1_2	3	1	2
P21502_119_C12W1_3	11	5	6
P21502_120_C12W1_1	15	2	13
P21502_120_C12W1_2	7	1	6
P21502_121_C12W1_1	8	3	5
P21502_121_C12W1_2**	5395	2302	3093
P21502_122_C12W1_1	10	2	8
P21502_122_C12W1_2	9	3	6
P21502_123_C12W1_1	89	39	50
P21502_123_C12W1_2	116	56	60
P21502_124_C12W1_1	3664	1627	2037
P21502_124_C12W1_2	880	351	529
P21502_125_C12W1_1	1226	473	753
P21502_125_C12W1_2	1002	408	594
P21502_126_C12W1_1	0	0	0
P21502_126_C12W1_2	0	0	0
P21502_127_C12W1_1*	51	19	32
P21502_127_C12W1_2	37	11	26
P21502_128_C12W1_1	560	243	317
P21502_128_C12W1_2	500	215	285
P21502_107_C12W1_1*	1172	537	635
P21502_107_C12W1_2	635	275	360
P21502_110_C12W1_1	4724	1956	2768
P21502_110_C12W1_2**	5395	2302	3093
P21502_129_C12W1_1	1	0	1
P21502_129_C12W1_2	0	0	0
P21502_130_C12W1_1	0	0	0
P21502_130_C12W1_2	1	0	1
P21502_131_C12W1_1	0	0	0
P21502_131_C12W1_2	5	3	2
P21502_132_C12W1_1	0	0	0
P21502_132_C12W1_2	0	0	0
P21502_133_C12W1_1	0	0	0
P21502_133_C12W1_2	0	0	0
P21502_134_C12W1_1	1	0	1
P21502_134_C12W1_2	42	18	24
P21502_135_C12W1_1	0	0	0
P21502_135_C12W1_2	0	0	0
P21502_136_C12W1_1	0	0	0
P21502_136_C12W1_2**	98	53	45
P21502_137_C12W1_1	0	0	0
P21502_137_C12W1_2	1	0	1
P21502_138_C12W1_1	0	0	0
P21502_138_C12W1_2	0	0	0
P21502_139_C12W1_1	0	0	0
P21502_139_C12W1_2	0	0	0
P21502_140_C12W1_1	0	0	0
P21502_140_C12W1_2	0	0	0
P21502_141_C12W1_1	0	0	0
P21502_141_C12W1_2	0	0	0
P21502_141_C12W1_3	3	3	0
P21502_142_C12W1_1	0	0	0
P21502_142_C12W1_2*	51	19	32
P21502_143_C12W1_1	1	0	1
P21502_143_C12W1_2	0	0	0
P21502_144_C12W1_1	0	0	0
P21502_144_C12W1_2	0	0	0
P21502_145_C12W1_1	2	2	0
P21502_145_C12W1_2*	3	0	3
P21502_146_C12W1_1	0	0	0
P21502_146_C12W1_2	0	0	0
P21502_147_C12W1_1*	119	48	71
P21502_147_C12W1_2	0	0	0
P21502_148_C12W1_1	0	0	0
P21502_148_C12W1_2	0	0	0
P21502_149_C12W1_1	2	1	1
P21502_149_C12W1_2	0	0	0
P21502_150_C12W1_1	16	5	11
P21502_150_C12W1_2	0	0	0
P21502_151_C12W1_1	0	0	0
P21502_151_C12W1_2	0	0	0
P21502_152_C12W1_1**	5395	2302	3093
P21502_152_C12W1_2	0	0	0
P21502_153_C12W1_1	0	0	0
P21502_153_C12W1_2	0	0	0
P21502_154_C12W1_1	1	0	1
P21502_154_C12W1_2	1	0	1
P21502_155_C12W1_1	30	14	16
P21502_155_C12W1_2	0	0	0
P21502_156_C12W1_1	0	0	0
P21502_156_C12W1_2	0	0	0
Unknown1_VGx_C12W1_1	0	0	0
Unknown1_VGx_C12W1_2	3	3	0
Unknown1_VGy_C12W1_1	0	0	0
Unknown1_VGy_C12W1_2	0	0	0
