Barcode	Total	Primer 1	Primer 2
R05_C12W1_1	0	0	0
R05_C12W1_2	0	0	0
P21502_101_C12W1_1*	0	0	0
P21502_101_C12W1_2	1	1	0
P21502_102_C12W1_1	1	1	0
P21502_102_C12W1_2	0	0	0
P21502_103_C12W1_1	1	0	1
P21502_103_C12W1_2**	236	87	149
P21502_104_C12W1_1	0	0	0
P21502_104_C12W1_2	0	0	0
P21502_105_C12W1_1	0	0	0
P21502_105_C12W1_2	1	1	0
P21502_106_C12W1_1	0	0	0
P21502_106_C12W1_2	0	0	0
P21502_108_C12W1_1*	43	13	30
P21502_108_C12W1_2	0	0	0
P21502_109_C12W1_1	0	0	0
P21502_109_C12W1_2	0	0	0
P21502_111_C12W1_1	0	0	0
P21502_111_C12W1_2	0	0	0
P21502_112_C12W1_1	0	0	0
P21502_112_C12W1_2**	236	87	149
P21502_113_C12W1_1	1	0	1
P21502_113_C12W1_2	0	0	0
P21502_114_C12W1_1	0	0	0
P21502_114_C12W1_2	0	0	0
P21502_116_C12W1_1*	189	65	124
P21502_116_C12W1_2	0	0	0
P21502_117_C12W1_1	0	0	0
P21502_117_C12W1_2	0	0	0
P21502_118_C12W1_1	0	0	0
P21502_118_C12W1_2	0	0	0
P21502_119_C12W1_1	0	0	0
P21502_119_C12W1_2	1	1	0
P21502_119_C12W1_3	0	0	0
P21502_120_C12W1_1	0	0	0
P21502_120_C12W1_2	0	0	0
P21502_121_C12W1_1	1	0	1
P21502_121_C12W1_2**	195	89	106
P21502_122_C12W1_1	0	0	0
P21502_122_C12W1_2	0	0	0
P21502_123_C12W1_1	0	0	0
P21502_123_C12W1_2	0	0	0
P21502_124_C12W1_1	0	0	0
P21502_124_C12W1_2	2	0	2
P21502_125_C12W1_1	0	0	0
P21502_125_C12W1_2	0	0	0
P21502_126_C12W1_1	0	0	0
P21502_126_C12W1_2	0	0	0
P21502_127_C12W1_1*	843	362	481
P21502_127_C12W1_2	0	0	0
P21502_128_C12W1_1	0	0	0
P21502_128_C12W1_2	0	0	0
P21502_107_C12W1_1*	0	0	0
P21502_107_C12W1_2	0	0	0
P21502_110_C12W1_1	0	0	0
P21502_110_C12W1_2**	195	89	106
P21502_129_C12W1_1	199	94	105
P21502_129_C12W1_2	334	152	182
P21502_130_C12W1_1	380	179	201
P21502_130_C12W1_2	150	70	80
P21502_131_C12W1_1	222	87	135
P21502_131_C12W1_2	249	98	151
P21502_132_C12W1_1	521	207	314
P21502_132_C12W1_2	242	95	147
P21502_133_C12W1_1	160	64	96
P21502_133_C12W1_2	77	30	47
P21502_134_C12W1_1	244	94	150
P21502_134_C12W1_2	57	22	35
P21502_135_C12W1_1	1298	565	733
P21502_135_C12W1_2	1063	434	629
P21502_136_C12W1_1	161	71	90
P21502_136_C12W1_2**	236	87	149
P21502_137_C12W1_1	1013	443	570
P21502_137_C12W1_2	1008	408	600
P21502_138_C12W1_1	385	147	238
P21502_138_C12W1_2	250	91	159
P21502_139_C12W1_1	683	276	407
P21502_139_C12W1_2	428	169	259
P21502_140_C12W1_1	537	242	295
P21502_140_C12W1_2	603	248	355
P21502_141_C12W1_1	416	171	245
P21502_141_C12W1_2	426	197	229
P21502_141_C12W1_3	454	178	276
P21502_142_C12W1_1	986	399	587
P21502_142_C12W1_2*	843	362	481
P21502_143_C12W1_1	65	28	37
P21502_143_C12W1_2	171	70	101
P21502_144_C12W1_1	123	49	74
P21502_144_C12W1_2	86	32	54
P21502_145_C12W1_1	196	75	121
P21502_145_C12W1_2*	189	65	124
P21502_146_C12W1_1	42	21	21
P21502_146_C12W1_2	47	19	28
P21502_147_C12W1_1*	43	13	30
P21502_147_C12W1_2	0	0	0
P21502_148_C12W1_1	1771	707	1064
P21502_148_C12W1_2	1406	599	807
P21502_149_C12W1_1	12	7	5
P21502_149_C12W1_2	63	26	37
P21502_150_C12W1_1	390	175	215
P21502_150_C12W1_2	218	83	135
P21502_151_C12W1_1	3138	1352	1786
P21502_151_C12W1_2	3075	1244	1831
P21502_152_C12W1_1**	195	89	106
P21502_152_C12W1_2	313	135	178
P21502_153_C12W1_1	0	0	0
P21502_153_C12W1_2	0	0	0
P21502_154_C12W1_1	0	0	0
P21502_154_C12W1_2	5	2	3
P21502_155_C12W1_1	15	7	8
P21502_155_C12W1_2	5	2	3
P21502_156_C12W1_1	703	303	400
P21502_156_C12W1_2	344	157	187
Unknown1_VGx_C12W1_1	896	364	532
Unknown1_VGx_C12W1_2	610	257	353
Unknown1_VGy_C12W1_1	16	7	9
Unknown1_VGy_C12W1_2	39	17	22
