Barcode	Total	Primer 1	Primer 2
R05_C12W1_1	0	0	0
R05_C12W1_2	0	0	0
P21502_101_C12W1_1*	0	0	0
P21502_101_C12W1_2	1	1	0
P21502_102_C12W1_1	0	0	0
P21502_102_C12W1_2	0	0	0
P21502_103_C12W1_1	0	0	0
P21502_103_C12W1_2**	220	84	136
P21502_104_C12W1_1	0	0	0
P21502_104_C12W1_2	0	0	0
P21502_105_C12W1_1	0	0	0
P21502_105_C12W1_2	0	0	0
P21502_106_C12W1_1	0	0	0
P21502_106_C12W1_2	1	1	0
P21502_108_C12W1_1*	124	59	65
P21502_108_C12W1_2	0	0	0
P21502_109_C12W1_1	0	0	0
P21502_109_C12W1_2	0	0	0
P21502_111_C12W1_1	0	0	0
P21502_111_C12W1_2	0	0	0
P21502_112_C12W1_1	0	0	0
P21502_112_C12W1_2**	220	84	136
P21502_113_C12W1_1	3	2	1
P21502_113_C12W1_2	0	0	0
P21502_114_C12W1_1	0	0	0
P21502_114_C12W1_2	0	0	0
P21502_116_C12W1_1*	64	28	36
P21502_116_C12W1_2	0	0	0
P21502_117_C12W1_1	0	0	0
P21502_117_C12W1_2	0	0	0
P21502_118_C12W1_1	0	0	0
P21502_118_C12W1_2	1	0	1
P21502_119_C12W1_1	0	0	0
P21502_119_C12W1_2	0	0	0
P21502_119_C12W1_3	0	0	0
P21502_120_C12W1_1	0	0	0
P21502_120_C12W1_2	0	0	0
P21502_121_C12W1_1	0	0	0
P21502_121_C12W1_2**	56	33	23
P21502_122_C12W1_1	0	0	0
P21502_122_C12W1_2	0	0	0
P21502_123_C12W1_1	0	0	0
P21502_123_C12W1_2	0	0	0
P21502_124_C12W1_1	0	0	0
P21502_124_C12W1_2	1	1	0
P21502_125_C12W1_1	0	0	0
P21502_125_C12W1_2	0	0	0
P21502_126_C12W1_1	0	0	0
P21502_126_C12W1_2	0	0	0
P21502_127_C12W1_1*	257	116	141
P21502_127_C12W1_2	0	0	0
P21502_128_C12W1_1	0	0	0
P21502_128_C12W1_2	0	0	0
P21502_107_C12W1_1*	0	0	0
P21502_107_C12W1_2	0	0	0
P21502_110_C12W1_1	0	0	0
P21502_110_C12W1_2**	56	33	23
P21502_129_C12W1_1	393	165	228
P21502_129_C12W1_2	361	166	195
P21502_130_C12W1_1	1158	504	654
P21502_130_C12W1_2	69	40	29
P21502_131_C12W1_1	202	90	112
P21502_131_C12W1_2	181	89	92
P21502_132_C12W1_1	59	29	30
P21502_132_C12W1_2	17	9	8
P21502_133_C12W1_1	216	81	135
P21502_133_C12W1_2	15	6	9
P21502_134_C12W1_1	307	148	159
P21502_134_C12W1_2	187	90	97
P21502_135_C12W1_1	100	46	54
P21502_135_C12W1_2	136	59	77
P21502_136_C12W1_1	158	75	83
P21502_136_C12W1_2**	220	84	136
P21502_137_C12W1_1	547	242	305
P21502_137_C12W1_2	299	148	151
P21502_138_C12W1_1	80	38	42
P21502_138_C12W1_2	126	52	74
P21502_139_C12W1_1	146	66	80
P21502_139_C12W1_2	91	44	47
P21502_140_C12W1_1	87	35	52
P21502_140_C12W1_2	184	66	118
P21502_141_C12W1_1	65	24	41
P21502_141_C12W1_2	242	108	134
P21502_141_C12W1_3	113	48	65
P21502_142_C12W1_1	411	185	226
P21502_142_C12W1_2*	257	116	141
P21502_143_C12W1_1	165	65	100
P21502_143_C12W1_2	209	105	104
P21502_144_C12W1_1	78	37	41
P21502_144_C12W1_2	70	31	39
P21502_145_C12W1_1	387	189	198
P21502_145_C12W1_2*	64	28	36
P21502_146_C12W1_1	220	100	120
P21502_146_C12W1_2	289	130	159
P21502_147_C12W1_1*	124	59	65
P21502_147_C12W1_2	42	17	25
P21502_148_C12W1_1	990	461	529
P21502_148_C12W1_2	378	183	195
P21502_149_C12W1_1	245	107	138
P21502_149_C12W1_2	269	109	160
P21502_150_C12W1_1	238	130	108
P21502_150_C12W1_2	443	176	267
P21502_151_C12W1_1	206	87	119
P21502_151_C12W1_2	29	17	12
P21502_152_C12W1_1**	56	33	23
P21502_152_C12W1_2	0	0	0
P21502_153_C12W1_1	258	116	142
P21502_153_C12W1_2	402	188	214
P21502_154_C12W1_1	48	15	33
P21502_154_C12W1_2	33	14	19
P21502_155_C12W1_1	181	80	101
P21502_155_C12W1_2	160	73	87
P21502_156_C12W1_1	148	73	75
P21502_156_C12W1_2	48	28	20
Unknown1_VGx_C12W1_1	122	62	60
Unknown1_VGx_C12W1_2	40	19	21
Unknown1_VGy_C12W1_1	249	117	132
Unknown1_VGy_C12W1_2	66	27	39
