Barcode	Total	Primer 1	Primer 2
R05_C12W1_1	0	0	0
R05_C12W1_2	0	0	0
P21502_101_C12W1_1*	0	0	0
P21502_101_C12W1_2	2	1	1
P21502_102_C12W1_1	0	0	0
P21502_102_C12W1_2	0	0	0
P21502_103_C12W1_1	0	0	0
P21502_103_C12W1_2**	10	4	6
P21502_104_C12W1_1	0	0	0
P21502_104_C12W1_2	0	0	0
P21502_105_C12W1_1	0	0	0
P21502_105_C12W1_2	0	0	0
P21502_106_C12W1_1	0	0	0
P21502_106_C12W1_2	0	0	0
P21502_108_C12W1_1*	167	74	93
P21502_108_C12W1_2	0	0	0
P21502_109_C12W1_1	0	0	0
P21502_109_C12W1_2	0	0	0
P21502_111_C12W1_1	0	0	0
P21502_111_C12W1_2	0	0	0
P21502_112_C12W1_1	0	0	0
P21502_112_C12W1_2**	10	4	6
P21502_113_C12W1_1	3	2	1
P21502_113_C12W1_2	0	0	0
P21502_114_C12W1_1	2	1	1
P21502_114_C12W1_2	0	0	0
P21502_116_C12W1_1*	280	122	158
P21502_116_C12W1_2	0	0	0
P21502_117_C12W1_1	0	0	0
P21502_117_C12W1_2	0	0	0
P21502_118_C12W1_1	0	0	0
P21502_118_C12W1_2	1	0	1
P21502_119_C12W1_1	0	0	0
P21502_119_C12W1_2	0	0	0
P21502_119_C12W1_3	0	0	0
P21502_120_C12W1_1	0	0	0
P21502_120_C12W1_2	0	0	0
P21502_121_C12W1_1	0	0	0
P21502_121_C12W1_2**	83	25	58
P21502_122_C12W1_1	0	0	0
P21502_122_C12W1_2	0	0	0
P21502_123_C12W1_1	0	0	0
P21502_123_C12W1_2	0	0	0
P21502_124_C12W1_1	0	0	0
P21502_124_C12W1_2	1	1	0
P21502_125_C12W1_1	0	0	0
P21502_125_C12W1_2	0	0	0
P21502_126_C12W1_1	0	0	0
P21502_126_C12W1_2	0	0	0
P21502_127_C12W1_1*	359	146	213
P21502_127_C12W1_2	0	0	0
P21502_128_C12W1_1	0	0	0
P21502_128_C12W1_2	0	0	0
P21502_107_C12W1_1*	0	0	0
P21502_107_C12W1_2	0	0	0
P21502_110_C12W1_1	0	0	0
P21502_110_C12W1_2**	83	25	58
P21502_129_C12W1_1	110	35	75
P21502_129_C12W1_2	543	240	303
P21502_130_C12W1_1	370	153	217
P21502_130_C12W1_2	285	117	168
P21502_131_C12W1_1	113	51	62
P21502_131_C12W1_2	177	79	98
P21502_132_C12W1_1	88	36	52
P21502_132_C12W1_2	55	23	32
P21502_133_C12W1_1	147	64	83
P21502_133_C12W1_2	21	9	12
P21502_134_C12W1_1	125	54	71
P21502_134_C12W1_2	65	22	43
P21502_135_C12W1_1	125	65	60
P21502_135_C12W1_2	147	47	100
P21502_136_C12W1_1	99	47	52
P21502_136_C12W1_2**	10	4	6
P21502_137_C12W1_1	324	127	197
P21502_137_C12W1_2	160	76	84
P21502_138_C12W1_1	103	44	59
P21502_138_C12W1_2	2	2	0
P21502_139_C12W1_1	138	64	74
P21502_139_C12W1_2	298	121	177
P21502_140_C12W1_1	202	88	114
P21502_140_C12W1_2	89	42	47
P21502_141_C12W1_1	277	118	159
P21502_141_C12W1_2	235	90	145
P21502_141_C12W1_3	124	50	74
P21502_142_C12W1_1	229	103	126
P21502_142_C12W1_2*	359	146	213
P21502_143_C12W1_1	122	57	65
P21502_143_C12W1_2	189	77	112
P21502_144_C12W1_1	149	60	89
P21502_144_C12W1_2	34	13	21
P21502_145_C12W1_1	200	83	117
P21502_145_C12W1_2*	280	122	158
P21502_146_C12W1_1	101	42	59
P21502_146_C12W1_2	133	59	74
P21502_147_C12W1_1*	167	74	93
P21502_147_C12W1_2	80	33	47
P21502_148_C12W1_1	707	287	420
P21502_148_C12W1_2	462	188	274
P21502_149_C12W1_1	169	65	104
P21502_149_C12W1_2	69	22	47
P21502_150_C12W1_1	359	127	232
P21502_150_C12W1_2	327	119	208
P21502_151_C12W1_1	161	65	96
P21502_151_C12W1_2	201	89	112
P21502_152_C12W1_1**	83	25	58
P21502_152_C12W1_2	49	20	29
P21502_153_C12W1_1	173	71	102
P21502_153_C12W1_2	306	128	178
P21502_154_C12W1_1	0	0	0
P21502_154_C12W1_2	39	14	25
P21502_155_C12W1_1	41	17	24
P21502_155_C12W1_2	52	26	26
P21502_156_C12W1_1	0	0	0
P21502_156_C12W1_2	40	13	27
Unknown1_VGx_C12W1_1	152	56	96
Unknown1_VGx_C12W1_2	75	32	43
Unknown1_VGy_C12W1_1	72	25	47
Unknown1_VGy_C12W1_2	99	36	63
