Barcode	Total	Primer 1	Primer 2
R05_C12W1_1	0	0	0
R05_C12W1_2	0	0	0
P21502_101_C12W1_1*	427	195	232
P21502_101_C12W1_2	180	79	101
P21502_102_C12W1_1	113	48	65
P21502_102_C12W1_2	127	58	69
P21502_103_C12W1_1	156	61	95
P21502_103_C12W1_2**	273	121	152
P21502_104_C12W1_1	164	69	95
P21502_104_C12W1_2	133	61	72
P21502_105_C12W1_1	213	74	139
P21502_105_C12W1_2	188	88	100
P21502_106_C12W1_1	145	67	78
P21502_106_C12W1_2	132	65	67
P21502_108_C12W1_1*	78	30	48
P21502_108_C12W1_2	84	38	46
P21502_109_C12W1_1	141	49	92
P21502_109_C12W1_2	135	63	72
P21502_111_C12W1_1	146	66	80
P21502_111_C12W1_2	173	80	93
P21502_112_C12W1_1	353	145	208
P21502_112_C12W1_2**	273	121	152
P21502_113_C12W1_1	220	104	116
P21502_113_C12W1_2	159	76	83
P21502_114_C12W1_1	341	148	193
P21502_114_C12W1_2	351	143	208
P21502_116_C12W1_1*	192	79	113
P21502_116_C12W1_2	168	71	97
P21502_117_C12W1_1	252	107	145
P21502_117_C12W1_2	256	119	137
P21502_118_C12W1_1	190	84	106
P21502_118_C12W1_2	223	90	133
P21502_119_C12W1_1	124	62	62
P21502_119_C12W1_2	160	60	100
P21502_119_C12W1_3	154	74	80
P21502_120_C12W1_1	102	40	62
P21502_120_C12W1_2	77	28	49
P21502_121_C12W1_1	204	77	127
P21502_121_C12W1_2**	403	173	230
P21502_122_C12W1_1	353	152	201
P21502_122_C12W1_2	315	150	165
P21502_123_C12W1_1	146	55	91
P21502_123_C12W1_2	122	53	69
P21502_124_C12W1_1	521	236	285
P21502_124_C12W1_2	120	43	77
P21502_125_C12W1_1	185	72	113
P21502_125_C12W1_2	161	60	101
P21502_126_C12W1_1	138	64	74
P21502_126_C12W1_2	122	46	76
P21502_127_C12W1_1*	172	66	106
P21502_127_C12W1_2	134	59	75
P21502_128_C12W1_1	109	47	62
P21502_128_C12W1_2	71	27	44
P21502_107_C12W1_1*	427	195	232
P21502_107_C12W1_2	229	101	128
P21502_110_C12W1_1	129	50	79
P21502_110_C12W1_2**	403	173	230
P21502_129_C12W1_1	0	0	0
P21502_129_C12W1_2	0	0	0
P21502_130_C12W1_1	0	0	0
P21502_130_C12W1_2	0	0	0
P21502_131_C12W1_1	0	0	0
P21502_131_C12W1_2	1	1	0
P21502_132_C12W1_1	0	0	0
P21502_132_C12W1_2	0	0	0
P21502_133_C12W1_1	0	0	0
P21502_133_C12W1_2	0	0	0
P21502_134_C12W1_1	0	0	0
P21502_134_C12W1_2	7	5	2
P21502_135_C12W1_1	0	0	0
P21502_135_C12W1_2	0	0	0
P21502_136_C12W1_1	0	0	0
P21502_136_C12W1_2**	273	121	152
P21502_137_C12W1_1	0	0	0
P21502_137_C12W1_2	0	0	0
P21502_138_C12W1_1	0	0	0
P21502_138_C12W1_2	0	0	0
P21502_139_C12W1_1	0	0	0
P21502_139_C12W1_2	0	0	0
P21502_140_C12W1_1	0	0	0
P21502_140_C12W1_2	0	0	0
P21502_141_C12W1_1	3	0	3
P21502_141_C12W1_2	0	0	0
P21502_141_C12W1_3	6	4	2
P21502_142_C12W1_1	0	0	0
P21502_142_C12W1_2*	172	66	106
P21502_143_C12W1_1	22	8	14
P21502_143_C12W1_2	0	0	0
P21502_144_C12W1_1	0	0	0
P21502_144_C12W1_2	0	0	0
P21502_145_C12W1_1	1	0	1
P21502_145_C12W1_2*	192	79	113
P21502_146_C12W1_1	0	0	0
P21502_146_C12W1_2	0	0	0
P21502_147_C12W1_1*	78	30	48
P21502_147_C12W1_2	0	0	0
P21502_148_C12W1_1	0	0	0
P21502_148_C12W1_2	0	0	0
P21502_149_C12W1_1	0	0	0
P21502_149_C12W1_2	0	0	0
P21502_150_C12W1_1	1	0	1
P21502_150_C12W1_2	0	0	0
P21502_151_C12W1_1	0	0	0
P21502_151_C12W1_2	0	0	0
P21502_152_C12W1_1**	403	173	230
P21502_152_C12W1_2	0	0	0
P21502_153_C12W1_1	0	0	0
P21502_153_C12W1_2	0	0	0
P21502_154_C12W1_1	0	0	0
P21502_154_C12W1_2	1	0	1
P21502_155_C12W1_1	4	2	2
P21502_155_C12W1_2	0	0	0
P21502_156_C12W1_1	0	0	0
P21502_156_C12W1_2	0	0	0
Unknown1_VGx_C12W1_1	0	0	0
Unknown1_VGx_C12W1_2	5	2	3
Unknown1_VGy_C12W1_1	0	0	0
Unknown1_VGy_C12W1_2	0	0	0
