Local;strain;Date;Wait time (h);Incubation Position;Light intensity;Control growth rate (day-1);S.D.;RO5 Spation control growth rate (day-1);Start Density (RFU);Concentration;Well position;Growth_rate;Inhibition RAW;Inhibition;Replicate;Running ID
GP;GP2-4_27;43388;4.566666667;G5;176;1.528221687;0.166356683;1.395082233;0.004664418;8.100699768;C02;1.566591142;-0.025107257;-0.025107257;11;GP_2
GP;GP2-4_27;43388;4.566666667;G5;176;1.528221687;0.166356683;1.395082233;0.004664418;7.500167892;C05;1.508328195;0.013017413;0.013017413;12;GP_2
GP;GP2-4_27;43388;4.566666667;G5;176;1.528221687;0.166356683;1.395082233;0.004664418;15.00150898;C06;-0.343546759;1.224801651;1;3;GP_2
GP;GP2-4_27;43388;4.566666667;G5;176;1.528221687;0.166356683;1.395082233;0.004664418;12.85972981;D01;-0.672573029;1.440101743;1;5;GP_2
GP;GP2-4_27;43388;4.566666667;G5;176;1.528221687;0.166356683;1.395082233;0.004664418;11.02373441;D02;0.735335812;0.518829095;0.518829095;7;GP_2
GP;GP2-4_27;43388;4.566666667;G5;176;1.528221687;0.166356683;1.395082233;0.004664418;15.00150898;D03;-0.34286642;1.224356468;1;3;GP_2
GP;GP2-4_27;43388;4.566666667;G5;176;1.528221687;0.166356683;1.395082233;0.004664418;12.85972981;D04;0.160695618;0.894847967;0.894847967;5;GP_2
GP;GP2-4_27;43388;4.566666667;G5;176;1.528221687;0.166356683;1.395082233;0.004664418;11.02373441;D05;0.756431572;0.505024972;0.505024972;7;GP_2
GP;GP2-4_27;43388;4.566666667;G5;176;1.528221687;0.166356683;1.395082233;0.004664418;0;A04;1.42030415;0.070616415;0.070616415;Control 1;GP_2
GP;GP2-4_27;43388;4.566666667;G5;176;1.528221687;0.166356683;1.395082233;0.004664418;0;B01;1.104564374;0.277222419;0.277222419;Control 2;GP_2
GP;GP2-4_27;43388;4.566666667;G5;176;1.528221687;0.166356683;1.395082233;0.004664418;0;B06;1.306713546;0.144945032;0.144945032;Control 3;GP_2
GP;GP2-4_27;43388;4.566666667;G5;176;1.528221687;0.166356683;1.395082233;0.004664418;0;C03;1.079246341;0.293789409;0.293789409;Control 4;GP_2
GP;GP2-4_27;43388;4.566666667;G5;176;1.528221687;0.166356683;1.395082233;0.004664418;0;D06;1.033549261;0.323691537;0.323691537;Control 5;GP_2
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;17.5;A01;-0.866162997;1.576678626;1;1;GP_3
