"Strain"	"Predict"	"Predict_low"	"Predict_high"	"EC05"	"EC05_SE"	"EC05_Low"	"EC05_high"	"EC50"	"EC50_SE"	"EC50_Low"	"EC50_high"	"EC95"	"EC95_SE"	"EC95_Low"	"EC95_high"	"Population"	"Plate.ID"	"Running.ID"	"Incubation_Position"	"Light_Intensity"	"Wait_time"	"RO5_Growth_Rate"	"Growth_Rate"	"SD_Grpwth_Rate."	"pH"	"FvFm"	"Start_Density"	"Pre_Density"	"drc_Normalization"	"Start_density"	"Relative_Start_Density"	"Biovolume"	"Surfacearea"	"Surface_Vol_ratio"	"Diameter"	"Diamter_Length_ratio"	"CuGrowth"	"CuGrowth_L"	"CuGrowth_H"
"37"	"VG1-2_65"	0.947149730995797	0.911034996965477	0.983264465026117	4.36413503025018	0.207388349307334	3.95347343181079	4.81745353567062	6.77617699963975	0.0812594996325787	6.60927837822731	6.94729017341864	8.6777494261715	0.165988242461631	8.33933351138096	9.02989849256549	"VG"	"VG1-2_9"	"VG1-2_9"	"E2"	187	4.3125	1.379986756	1.443195267	0.071115012	7.64	0.64	0.004003946	0.199070996	"Normal"	12.2916667	2.95313032	378.5222982	289.7140625	0.765381759	5.875	0.642857143	0.0762732580865425	0.128393871308064	0.024152644865021
"38"	"VG1-2_66"	0.610470792352827	0.500788999191935	0.720152585513719	5.89283186099108	0.459958890360734	5.00989305082535	6.93137897149136	8.30654145145738	0.165871450525036	7.96865716025003	8.65875259748466	10.0748140772572	0.377312261110805	9.31992846567748	10.8908431073373	"VG"	"VG1-2_10"	"VG1-2_10"	"F1"	172	4.3515625	1.524951778	1.370281279	0.110366237	7.74	0.63	0.005281478	0.117670068	"Low"	11.75	2.82299237	360.609375	286.034375	0.793197279	5.625	0.56	0.533764580862625	0.684059488678145	0.383469673047104
"39"	"VG1-2_67"	0.999838941142227	0.998817153928362	1.00086072835609	4.43121751245084	0.262486995577369	3.91762913382315	5.0121356493714	6.21953832295175	0.10138195474854	6.01223650592367	6.4339879032624	7.52538460494545	0.200596011778841	7.11957412625375	7.95432598187566	"VG"	"VG1-2_11"	"VG1-2_11"	"F2"	180	4.390625	1.450598357	1.676851461	0.074675836	7.76	0.66	0.003761664	0.200066356	"Normal"	18.8333333	4.52479628	120.7652995	146.696875	1.214727042	3.5	0.387797619	0.000270071780963572	0.00198345716336427	-0.00144331360143359
"40"	"VG1-2_72"	0.835308772209733	0.765499099794601	0.905118444624865	5.5596486580575	0.238385179316584	5.08535972775202	6.07817241174877	7.68177323829122	0.0833473302058241	7.51038384891626	7.85707378898381	9.21292493638843	0.182887049718233	8.84033418683748	9.60121914960001	"VG"	"VG1-2_12"	"VG1-2_12"	"G2"	163	4.4296875	1.365358868	1.739190374	0.05622729	7.81	0.65	0.004085761	0.125711472	"Normal"	12.4583333	2.99317276	185.0576172	190.853125	1.031317316	4.125	0.432083333	0.286429398055074	0.407841708331565	0.165017087778583
"41"	"VG1-2_74"	0.498172503361655	0.45332707283306	0.543017933890249	6.16739915617165	0.186490341283014	5.79151362387015	6.56768071731287	8.65634608424757	0.0700965557578671	8.51179287806115	8.8033541938507	10.4737871584251	0.153522619253431	10.1593363734197	10.7979707933488	"VG"	"VG1-2_13"	"VG1-2_13"	"G3"	168	4.46875	1.449433932	1.887243718	0.058568423	7.77	0.65	0.005040477	0.187774652	"Normal"	11.1666667	2.68284381	163.5927734	172.209375	1.05267104	4.125	0.489047619	0.947070790550383	1.03170504759648	0.862436533504288
"42"	"VG1-2_78"	0.861894449067768	0.807793259376619	0.915995638758916	6.26973771134063	0.136414017453842	5.9923715810351	6.559942159364	7.88639153653797	0.0496950141811593	7.78371929543897	7.99041809023384	8.97193972880794	0.0961411492179545	8.77421456365237	9.17412059089823	"VG"	"VG1-2_14"	"VG1-2_14"	"G4"	173	4.5078125	1.470970803	1.854203084	0.033349078	7.57	0.64	0.004409706	0.140695316	"Normal"	11.5833333	2.78294993	303.1653646	269.5984375	0.88927849	4.9375	0.442142857	0.256075738456064	0.356390331229461	0.155761145682668
"43"	"VG1-2_81"	0.226671974618838	0.19106219289368	0.262281756343997	6.88784534397752	0.180922867663746	6.52168740670963	7.27456109499257	9.95264842940998	0.0699992670398748	9.8081364063811	10.0992896769862	12.2406325380461	0.185665723427349	11.8605456883299	12.6328997728072	"VG"	"VG1-2_15"	"VG1-2_15"	"G5"	176	4.546875	1.614678916	1.783334116	0.066499002	7.62	0.67	0.004522827	0.138758166	"Normal"	8.66666667	2.08220714	442.2013346	302.9609375	0.685119908	6.875	1.0675	1.37910225052114	1.44260638913493	1.31559811190735
"44"	"VG1-2_83"	0.86429289782815	0.806231621360481	0.922354174295819	5.90584659409324	0.173198437547987	5.55642431214947	6.27724270745444	7.74701267684545	0.0623855066705712	7.61835522143882	7.87784287693917	9.02374284126079	0.124963840579062	8.76757275965682	9.28739767520249	"VG"	"VG1-2_16"	"VG1-2_16"	"G6"	168	4.5859375	1.416530257	1.684539295	0.083422494	7.66	0.66	0.003720059	0.108751872	"Normal"	19	4.56483873	156.5911458	178.8328125	1.142036554	3.8125	0.365178571	0.228603946219061	0.326410447946708	0.130797444491414
"45"	"VG1-2_85"	0.822744371790904	0.752712698359059	0.892776045222749	5.49467655671327	0.261800518679658	4.97633663395632	6.06700725527312	7.68767500446564	0.0906223183934228	7.50150680884218	7.87846341812595	9.28514186371987	0.194750347140356	8.88884220798007	9.69911012167633	"VG"	"VG1-2_17"	"VG1-2_17"	"A6"	182	4.625	1.359394988	1.50883097	0.157807148	7.65	0.65	0.002285772	0.080096796	"Normal"	14.0416667	3.37357599	183.3710938	192.815625	1.051505017	4.125	0.406666667	0.26744878144869	0.373114739203584	0.161782823693796
"46"	"VG1-2_86"	0.82491997448513	0.751700856077817	0.898139092892442	6.29385118266908	0.176034199999463	5.93821122014741	6.67079045204485	7.96014824974498	0.0685167982866781	7.81892748032771	8.10391966383379	9.08374052609359	0.12785089530491	8.82171349806931	9.35355041437855	"VG"	"VG1-2_18"	"VG1-2_18"	"A7"	171	4.6640625	1.419708276	1.536579674	0.110409113	7.74	0.66	0.003621016	0.083274204	"Normal"	12.5	3.00318337	265.2952474	239.6703125	0.903409748	4.9375	0.50875	0.269024408529551	0.381531417622427	0.156517399436676
"47"	"VG1-2_88"	0.681785597088183	0.59690007121764	0.766671122958726	5.12725655282678	0.404887800505032	4.35075046458339	6.04235061801514	7.94919436121392	0.156631752277482	7.63004435012138	8.28169380055438	10.171404313369	0.364319484007256	9.4412902546109	10.9579795680463	"VG"	"VG1-2_19"	"VG1-2_19"	"A8"	160	4.78125	1.361526475	1.46297308	0.238438939	7.83	0.66	0.002471343	0.116954924	"Normal"	12.2916667	2.95313032	145.4498698	165.340625	1.136753338	3.875	0.416666667	0.465539105128262	0.58972434435851	0.341353865898014
"48"	"VG1-2_89"	0.0541174463329368	-0.173405843734899	0.281640736400772	8.62578366047323	0.644566414746975	7.38429562942063	10.0759974263279	9.45020376646773	0.330640964172454	8.78701780829475	10.1634426122885	9.9477966797301	0.518171935787281	8.92651303036221	11.085925539419	"VG"	"VG1-2_20"	"VG1-2_20"	"A7"	181	4.8203125	1.438100453	0.697779429	0.207492379	7.79	0.64	0.004161458	0.156144276	"Normal"	19.4166667	4.66494484	161.0374349	184.2296875	1.144017772	3.8125	0.371190476	0.660017388198865	0.818778459626601	0.50125631677113
"49"	"VG1-2_90"	0.688722988518018	0.638804064090256	0.73864191294578	5.08148906269781	0.239702090079085	4.60667150250681	5.60524688601438	7.91610854279377	0.0931451063315435	7.72475345173139	8.11220382020699	10.1564130168733	0.215177415229517	9.71864187779615	10.6139033278901	"VG"	"VG1-2_21"	"VG1-2_21"	"A8"	165	4.859375	1.378735887	1.533480638	0.073843562	7.8	0.65	0.003990865	0.155110596	"Normal"	11.7916667	2.83300298	161.3951823	181.040625	1.121722609	3.875	0.37125	0.477337270162123	0.553886974241881	0.400787566082365
"50"	"VG1-2_93"	0.870739762959797	0.763015279430876	0.978464246488717	6.10296108561985	0.274081889954593	5.5587837398114	6.70041069341078	7.8082065445799	0.10536586985155	7.59213223062486	8.03043039699566	8.96827802211324	0.206429431341516	8.54909722876548	9.40801215961064	"VG"	"VG1-2_22"	"VG1-2_22"	"B8"	167	4.8984375	1.417369269	1.359448225	0.245416723	7.65	0.62	0.002966714	0.118423016	"Normal"	10.5	2.52267403	155.875651	187.41875	1.202360656	3.5	0.267559524	0.175722599807383	0.322168457729817	0.0292767418849512
"51"	"VG1-2_94"	0.902669231418272	0.859763641686673	0.945574821149872	5.66940388622132	0.139329032465531	5.38693301137443	5.96668649066801	7.56384873830119	0.0492437186552494	7.46213095806435	7.66695305368121	8.89465428631369	0.104971348778546	8.67901148127703	9.11565505400133	"VG"	"VG1-2_23"	"VG1-2_23"	"C8"	170	4.9375	1.374520392	1.42832058	0.066849239	7.69	0.66	0.00265776	0.145681116	"Normal"	10.75	2.5827377	756.3035482	464.8671875	0.614656891	7.375	0.628571429	0.139019539832499	0.200302476643179	0.0777366030218185
"52"	"VG1-2_95"	0.516003960887042	0.32918925486869	0.702818666905393	7.15091646779441	0.577528368050055	6.04532346633311	8.45870475155739	8.62194124842154	0.162093304664896	8.29135434469452	8.96570907487511	9.57805460821442	0.363137527215657	8.85187298940454	10.3638100306847	"VG"	"VG1-2_24"	"VG1-2_24"	"D8"	179	4.9765625	1.437469457	1.416569635	0.095668111	7.8	0.67	0.0031026	0.168807716	"Low"	14.75	3.54375638	180.7135417	201.646875	1.115837104	3.875	0.329672619	0.685614092467689	0.950250132384738	0.420978052550641
"53"	"VG1-2_99"	0.569752548515577	0.505960780786515	0.633544316244639	5.92393431762953	0.255076115003208	5.41653124830409	6.4788692598379	8.42392591098554	0.0965763648946811	8.22545966275703	8.62718080973338	10.2676755299945	0.243298445173267	9.77397286621534	10.7863160899146	"VG"	"VG1-2_25"	"VG1-2_25"	"E8"	172	5.015625	1.396445545	1.593281588	0.062734709	7.85	0.66	0.004375602	0.214534276	"Normal"	8.58333333	2.06218592	269.2815755	235.5	0.87454925	5.125	0.57625	0.685505342734054	0.787143591722742	0.583867093745367
"54"	"VG1-2_103"	0.777490613627926	0.703113444531576	0.851867782724275	5.90202991510471	0.241658230550272	5.42027575624176	6.42660238802014	7.92492977197721	0.0864254502645311	7.74722097822711	8.106714919747	9.35296487551175	0.177643284742787	8.99073630274823	9.72978730738848	"VG"	"VG1-2_26"	"VG1-2_26"	"F6"	182	5.0546875	1.502078035	1.86078132	0.07367902	7.85	0.66	0.004170724	0.190749676	"Normal"	14	3.36356538	405.9666341	306.3953125	0.754730283	5.875	0.60875	0.414041309685818	0.552440956574787	0.27564166279685
"55"	"VG1-2_104"	0.561247435600136	0.493886908992558	0.628607962207715	6.34876679000446	0.241933606321125	5.86505797041365	6.872368518298	8.48552974483406	0.0858502591248305	8.30885944462531	8.66595656483759	9.9886321285278	0.205218401494123	9.57084583784649	10.4246556145039	"VG"	"VG1-2_27"	"VG1-2_27"	"F7"	171	5.09375	1.461623926	1.58298271	0.156518456	7.71	0.66	0.0043432	0.130724716	"Normal"	12.7916667	3.07325765	152.758138	179.56875	1.175510204	3.625	0.326607143	0.694537723413146	0.801168272369437	0.587907174456854
"56"	"VG1-2_105"	0.300885612084577	0.191396578603118	0.410374645566035	6.97411234385108	0.399663801930193	6.19058209186441	7.85681253602562	9.30802739506327	0.179036381968092	8.9430491910877	9.68790086423654	10.9480224258367	0.402847528072168	10.141506840306	11.8186771378253	"VG"	"VG1-2_28"	"VG1-2_28"	"F8"	160	5.1328125	1.388622765	1.549503587	0.222008772	7.73	0.64	0.004711267	0.119076568	"Normal"	13.2083333	3.17336377	128.891276	160.6796875	1.246629659	3.3125	0.290297619	1.08328025179826	1.25293390191494	0.913626601681575
"57"	"VG1-2_106"	0.713304729309634	0.580273749323844	0.846335709295424	6.38279412871456	0.361400144282799	5.67378333969077	7.18040475824258	8.17853227431708	0.133267525581969	7.90603047785697	8.46042655026256	9.40157706605719	0.264774453658659	8.86676273242646	9.96864966350849	"VG"	"VG1-2_29"	"VG1-2_29"	"A1"	160	5.171875	1.275488203	1.31594626	0.293761605	7.77	0.64	0.002993067	0.115888916	"Normal"	14	3.36356538	142.1279297	166.321875	1.170226537	3.75	0.403928571	0.377275569224675	0.55233718980111	0.20221394864824
"58"	"VG1-2_107"	0.673908067030449	0.613067303649754	0.734748830411144	5.8127131961399	0.23082494570306	5.35197274529748	6.31311785551719	8.13099842623425	0.0836696945484449	7.95884633933885	8.30687421123349	9.81946870935686	0.189415151081208	9.43335464600956	10.221386702007	"VG"	"VG1-2_30"	"VG1-2_30"	"C3/D3"	199	5.2109375	1.335307782	1.72430081	0.097574925	7.77	0.67	0.004329767	0.12135334	"Normal"	11.8333333	2.84301359	148.0818685	163.6234375	1.104952545	4	0.469583333	0.562280584153862	0.667188361732213	0.457372806575512
