"Strain"	"Predict"	"Predict_low"	"Predict_high"	"EC05"	"EC05_SE"	"EC05_Low"	"EC05_high"	"EC50"	"EC50_SE"	"EC50_Low"	"EC50_high"	"EC95"	"EC95_SE"	"EC95_Low"	"EC95_high"	"Population"	"Plate.ID"	"Running.ID"	"Incubation_Position"	"Light_Intensity"	"Wait_time"	"RO5_Growth_Rate"	"Growth_Rate"	"SD_Grpwth_Rate."	"pH"	"FvFm"	"Start_Density"	"Pre_Density"	"drc_Normalization"	"Start_density"	"Relative_Start_Density"	"Biovolume"	"Surfacearea"	"Surface_Vol_ratio"	"Diameter"	"Diamter_Length_ratio"	"CuGrowth"	"CuGrowth_L"	"CuGrowth_H"
"11"	"GP2-4_42"	0.996699432904831	0.906836058688791	1.08656280712087	6.09094301571668	1.61984371858023	3.50343582434152	10.5894866299373	7.39349446201633	0.4265513769116	6.55758075054427	8.3359645026604	8.24450474930216	0.960185583945902	6.47110802934682	10.5038979805328	"GP"	"GP_11"	"GP_11"	"C1"	175	5.166666667	1.361506471	0.063047713	0.200394298	7.94	0.58	0.001952476	0.071984631	"Normal"	23.30357143	4.472624454	128.4313151	159.2078125	1.239633904	3.3125	0.309970238	0.00020809320695346	0.00587377343373795	-0.00545758701983096
"12"	"GP2-4_43"	0.864376282225738	0.778381053362362	0.950371511089114	6.05300412140405	0.231588971728564	5.59005047605917	6.55429840046165	7.80214478309907	0.0864927093860192	7.62433089239229	7.98410563177169	8.99888887832203	0.17015169943652	8.65190570535643	9.3597877510677	"GP"	"GP_12"	"GP_12"	"C2"	184	5.233333333	1.346461561	1.519814235	0.162843657	8.02	0.62	0.002241419	0.355005251	"Normal"	17.41071429	3.341615971	297.7224935	244.5765625	0.821491717	5.5	0.684880952	0.206122856876946	0.336819629845588	0.0754260839083042
"13"	"GP2-4_44"	0.681984615838396	0.525886905156495	0.838082326520296	6.56813763744274	0.462545373495813	5.67334278154483	7.60405878606983	8.27350068853051	0.155355323986891	7.95664838841231	8.60297078639334	9.41986752481184	0.309789433842023	8.79716183767387	10.0866513339565	"GP"	"GP_13"	"GP_13"	"C7"	189	5.3	1.424717795	1.305513755	0.13060112	7.94	0.61	0.001922531	0.076291371	"Low"	32.67857143	6.271956131	131.344401	152.3390625	1.159844358	3.6875	0.424464286	0.415173458324583	0.618961166743815	0.211385749905352
"14"	"GP2-4_45"	0.578865059073057	0.463725431358509	0.694004686787605	5.8789218155541	0.482432349054775	4.95658715131781	6.97288691962351	8.39263594872508	0.182841571305882	8.02088110531341	8.7816210267937	10.2520245805055	0.412159728936618	9.42974429977809	11.1460082753	"GP"	"GP_14"	"GP_14"	"C8"	170	5.366666667	1.381374501	1.433682753	0.249061637	7.96	0.63	0.002103195	0.221752611	"Normal"	25.26785714	4.849627281	254.5628255	231.8203125	0.91066051	4.9375	0.519404762	0.603773901492632	0.76884759993382	0.438700203051444
"15"	"GP2-4_46"	0.749263904202343	0.654881201482042	0.843646606922643	4.62389457426156	0.485387533887101	3.71705792953744	5.75196874495472	7.58545452988415	0.192508035546321	7.19549328557611	7.99654980434509	10.0191874417056	0.441965261185767	9.14096818727769	10.9817816816981	"GP"	"GP_15"	"GP_15"	"D1"	177	5.433333333	1.363558066	1.595340198	0.07646008	7.96	0.64	0.002897405	0.251249131	"Normal"	19.46428571	3.735755291	251.8030599	228.8765625	0.90895068	4.9375	0.525654762	0.400009372715581	0.550581892361161	0.249436853070002
"16"	"GP2-4_47"	0.80463934092244	0.721469213399548	0.887809468445332	5.94897462045646	0.265914151776331	5.42090017622896	6.52849118860815	7.88453270512129	0.0928256721903545	7.6938351569822	8.07995683683338	9.23736029648678	0.187716006692985	8.85511729561821	9.63610332856165	"GP"	"GP_16"	"GP_16"	"D7"	189	5.633333333	1.416048606	1.542451182	0.125788297	8.05	0.63	0.002294287	0.336225131	"Normal"	14.52380952	2.787536058	221.0878906	205.571875	0.929819695	4.875	0.62	0.301334279510481	0.429620141015257	0.173048418005706
"17"	"GP2-4_51"	0.815301921016575	0.580294349197225	1.05030949283593	5.80755907827371	0.61475735677534	4.66003744156119	7.23765481942995	7.81501259005659	0.265106710794739	7.28269041429422	8.38624441083863	9.23449477906914	0.51745667919902	8.2187189042779	10.3758134105631	"GP"	"GP_18"	"GP_18"	"D8"	179	5.7	1.405065612	0.782936704	0.185151304	7.89	0.64	0.004088786	0.12641942	"Normal"	21.875	4.198440579	138.3460286	154.3015625	1.115330624	3.8125	0.47672619	0.144606905194414	0.3286029588897	-0.0393891485008747
"18"	"GP2-4_52"	0.827041452933993	0.751402647534591	0.902680258333395	4.49214133490197	0.420060031311596	3.69826894704084	5.45642679364391	7.28131347612913	0.162365672570132	6.95136508572502	7.6269229545336	9.55273199512159	0.330053535534285	8.89042701367047	10.2643763263903	"GP"	"GP_19"	"GP_19"	"E1"	174	5.766666667	1.428291871	1.510461208	0.067017895	7.92	0.63	0.00287043	0.210540851	"Normal"	29.46428571	5.655042413	123.5250651	145.4703125	1.177658254	3.6875	0.484642857	0.261247175935246	0.375496657310504	0.146997694559988
"19"	"GP2-4_54"	0.618204836508059	0.469486068943897	0.766923604072221	7.25788293758175	0.357068664802165	6.55204145241173	8.03976365507433	8.4818830284812	0.112275284325418	8.2515782505744	8.71861570286016	9.25850736422069	0.189485566809	8.87271868215647	9.66107026313326	"GP"	"GP_20"	"GP_20"	"E2"	187	5.833333333	1.36934235	1.260399648	0.195249358	7.86	0.58	0.002533907	0.057761855	"Normal"	14.82142857	2.844657699	370.3196615	277.203125	0.748550925	5.5	0.634047619	0.481214489673345	0.668659571962208	0.293769407384481
"20"	"GP2-4_55"	0.829075820908405	0.752033071561369	0.906118570255441	6.33620812146032	0.17191133001159	5.98859779956001	6.70399561002566	7.96703124408115	0.0630631357242264	7.83695779425796	8.09926358039999	9.0617803750722	0.133161623531826	8.78904420410987	9.34297992580868	"GP"	"GP_21"	"GP_21"	"E7"	185	5.9	1.412575678	1.398489283	0.087801309	7.99	0.6	0.003194206	0.360360371	"Normal"	13.27380952	2.547625168	288.3188477	245.5578125	0.851688381	5.25	0.614583333	0.239035632665168	0.346779091959853	0.131292173370483
"21"	"GP2-4_56"	0.216952728071756	-2.47000610262533	2.90391155876884	8.47900430896758	1.24031636490751	6.2550256567266	11.4937200927669	8.76664039315156	0.410634463862722	7.95295333486842	9.66357786180925	8.93260318981749	0.125428013232509	8.67553299000982	9.19729079914977	"GP"	"GP_22"	"GP_22"	"E8"	172	5.966666667	1.341016975	1.106186148	0.379514029	7.98	0.62	0.003868964	0.280078971	"Normal"	15.625	2.998886128	210.4576823	196.4953125	0.933657115	4.8125	0.640238095	0.866196045436213	3.83847268419961	-2.10608059332718
"22"	"GP2-4_57"	0.883236100546972	0.826140310673781	0.940331890420164	4.74150380188281	0.233229488234977	4.28045951815596	5.25220673339164	7.21050980265767	0.0946830520614682	7.01626983428691	7.41012715334179	9.1265831279385	0.199942020453732	8.7201105749075	9.55200268111914	"GP"	"GP_23"	"GP_23"	"F1"	172	6.033333333	1.396532231	1.277305636	0.047236806	7.95	0.58	0.003201907	0.079183507	"Normal"	28.48214286	5.466540999	196.3777669	174.171875	0.886922576	4.1875	0.600833333	0.14914318685269	0.222071961049589	0.0762144126557902
"23"	"GP2-4_61"	0.626266777941131	0.570206580368275	0.682326975513986	6.4597228726532	0.191768455911806	6.0729795656699	6.8710950103248	8.35575175439985	0.0624528998993878	8.22687801052797	8.48664430076744	9.65649996319054	0.140343948398478	9.36900529699811	9.95281660999553	"GP"	"GP_25"	"GP_25"	"F2"	180	6.1	1.39477574	1.487688258	0.086490922	7.99	0.61	0.002962235	0.218977051	"Normal"	14.55357143	2.793248222	276.6665039	234.2734375	0.846771959	5.25	0.634047619	0.555998526081486	0.639398623751784	0.472598428411189
"24"	"GP2-4_63"	0.608814016347721	0.514067858782853	0.703560173912589	5.96778205300143	0.372644490092307	5.24103300179788	6.79530592917634	8.32192955310462	0.133567813609608	8.04874462604696	8.60438673413962	10.0324506380427	0.322172556742833	9.38433834521381	10.7253236298857	"GP"	"GP_26"	"GP_26"	"F7"	171	6.166666667	1.430010687	1.546746187	0.09224692	8.08	0.62	0.003663234	0.398983251	"Normal"	17.05357143	3.273070003	189.0183919	189.1359375	1.000621874	4.375	0.501845238	0.605065428622007	0.751613686568368	0.458517170675646
"25"	"GP2-4_67"	0.622782029462579	0.527129438577703	0.718434620347454	6.14443479735212	0.380014087699576	5.40286379124074	6.9877902604392	8.31433884742074	0.125384743085155	8.05763340013804	8.57922258768257	9.85520922691302	0.29587820233924	9.25871180986626	10.4901363062984	"GP"	"GP_27"	"GP_27"	"F8"	160	6.233333333	1.36107707	1.551822938	0.104043382	8.02	0.6	0.002320203	0.283468851	"Normal"	16.07142857	3.084568589	175.8583984	179.3234375	1.019703575	4.3125	0.524166667	0.585375499305778	0.733811383920058	0.436939614691499
"26"	"GP2-4_68"	0.905290551968213	0.827684195681686	0.98289690825474	5.35399934199398	0.313310581884989	4.7405205039571	6.04686952205858	7.420154028889	0.101776885968169	7.21148761474212	7.6348582641789	8.91438310554389	0.222156828837535	8.46415043043966	9.3885649605921	"GP"	"GP_28"	"GP_28"	"G2"	163	6.3	1.38309825	1.414518041	0.125300817	7.96	0.57	0.001590147	0.127394035	"Normal"	18.21428571	3.495844401	360.1494141	282.6	0.78467433	5.625	0.583333333	0.133968222894115	0.243743813957681	0.0241926318305485
