"P21502_210","PIPT_GP_Cu2_t9_C2W24","GP","GP","Copper",9,"GP_Cu2",2,"P21502_135_C2W24_1",46,"P21502_135","1",2,"Yes","am","VG1-2_63","Yes","No","No",61,"",0.00385906040268456
"P21502_210","PIPT_GP_Cu2_t9_C2W24","GP","GP","Copper",9,"GP_Cu2",2,"P21502_135_C2W24_2",0,"P21502_135","2",1,"Yes","bh","VG1-2_63","Yes","Yes","Yes",62,"WrongAllel_Delete_homozygot",0
"P21502_210","PIPT_GP_Cu2_t9_C2W24","GP","GP","Copper",9,"GP_Cu2",2,"P21502_137_C2W24_1",0,"P21502_137","1",1,"Yes","bi","VG1-2_66","Yes","Yes","Yes",65,"",0
"P21502_210","PIPT_GP_Cu2_t9_C2W24","GP","GP","Copper",9,"GP_Cu2",2,"P21502_138_C2W24_1",1,"P21502_138","1",1,"Yes","bj","VG1-2_67","Yes","Yes","Yes",67,"",8.38926174496644e-05
"P21502_210","PIPT_GP_Cu2_t9_C2W24","GP","GP","Copper",9,"GP_Cu2",2,"P21502_139_C2W24_2",0,"P21502_139","2",1,"Yes","bk","VG1-2_72","Yes","Yes","Yes",69,"",0
"P21502_210","PIPT_GP_Cu2_t9_C2W24","GP","GP","Copper",9,"GP_Cu2",2,"P21502_140_C2W24_1",1953,"P21502_140","1",3,"No","ad","VG1-2_74","Yes","No","No",70,"",0.163842281879195
"P21502_210","PIPT_GP_Cu2_t9_C2W24","GP","GP","Copper",9,"GP_Cu2",2,"P21502_141_C2W24_1",3,"P21502_141","1",1,"Yes","bl","VG1-2_78","Yes","Yes","Yes",71,"",0.000251677852348993
"P21502_210","PIPT_GP_Cu2_t9_C2W24","GP","GP","Copper",9,"GP_Cu2",2,"P21502_141_C2W24_2",0,"P21502_141","2",1,"Yes","bm","VG1-2_78","Yes","Yes","Yes",72,"",0
"P21502_210","PIPT_GP_Cu2_t9_C2W24","GP","GP","Copper",9,"GP_Cu2",2,"P21502_141_C2W24_3",0,"P21502_141","3",1,"Yes","bn","VG1-2_78","Yes","Yes","Yes",73,"",0
"P21502_210","PIPT_GP_Cu2_t9_C2W24","GP","GP","Copper",9,"GP_Cu2",2,"P21502_142_C2W24_1",0,"P21502_142","1",1,"Yes","bo","VG1-2_81","Yes","Yes","Yes",74,"",0
