Barcode	Total	Primer 1	Primer 2
R05_C12W1_1	1	0	1
R05_C12W1_2	1	0	1
P21502_101_C12W1_1*	190	75	115
P21502_101_C12W1_2	146	60	86
P21502_102_C12W1_1	135	50	85
P21502_102_C12W1_2	104	37	67
P21502_103_C12W1_1	2	0	2
P21502_103_C12W1_2**	11	6	5
P21502_104_C12W1_1	5	2	3
P21502_104_C12W1_2	6	1	5
P21502_105_C12W1_1	51	19	32
P21502_105_C12W1_2	43	16	27
P21502_106_C12W1_1	21	7	14
P21502_106_C12W1_2	23	7	16
P21502_108_C12W1_1*	10	4	6
P21502_108_C12W1_2	5	3	2
P21502_109_C12W1_1	17	7	10
P21502_109_C12W1_2	10	7	3
P21502_111_C12W1_1	39	16	23
P21502_111_C12W1_2	30	15	15
P21502_112_C12W1_1	9	3	6
P21502_112_C12W1_2**	11	6	5
P21502_113_C12W1_1	60	32	28
P21502_113_C12W1_2	1	0	1
P21502_114_C12W1_1	6	3	3
P21502_114_C12W1_2	3	2	1
P21502_116_C12W1_1*	8	2	6
P21502_116_C12W1_2	0	0	0
P21502_117_C12W1_1	10	4	6
P21502_117_C12W1_2	0	0	0
P21502_118_C12W1_1	94	48	46
P21502_118_C12W1_2	121	45	76
P21502_119_C12W1_1	5	2	3
P21502_119_C12W1_2	6	2	4
P21502_119_C12W1_3	3	2	1
P21502_120_C12W1_1	3	0	3
P21502_120_C12W1_2	4	2	2
P21502_121_C12W1_1	3	2	1
P21502_121_C12W1_2**	181	79	102
P21502_122_C12W1_1	8	3	5
P21502_122_C12W1_2	9	3	6
P21502_123_C12W1_1	4	1	3
P21502_123_C12W1_2	9	4	5
P21502_124_C12W1_1	150	61	89
P21502_124_C12W1_2	37	20	17
P21502_125_C12W1_1	103	35	68
P21502_125_C12W1_2	74	30	44
P21502_126_C12W1_1	1	1	0
P21502_126_C12W1_2	1	0	1
P21502_127_C12W1_1*	2913	1241	1672
P21502_127_C12W1_2	2	0	2
P21502_128_C12W1_1	14	9	5
P21502_128_C12W1_2	23	12	11
P21502_107_C12W1_1*	190	75	115
P21502_107_C12W1_2	69	30	39
P21502_110_C12W1_1	125	63	62
P21502_110_C12W1_2**	181	79	102
P21502_129_C12W1_1	0	0	0
P21502_129_C12W1_2	1	0	1
P21502_130_C12W1_1	6	2	4
P21502_130_C12W1_2	2	1	1
P21502_131_C12W1_1	0	0	0
P21502_131_C12W1_2	0	0	0
P21502_132_C12W1_1	5	4	1
P21502_132_C12W1_2	0	0	0
P21502_133_C12W1_1	1	1	0
P21502_133_C12W1_2	1	1	0
P21502_134_C12W1_1	1	0	1
P21502_134_C12W1_2	1	1	0
P21502_135_C12W1_1	5	2	3
P21502_135_C12W1_2	4	3	1
P21502_136_C12W1_1	2	1	1
P21502_136_C12W1_2**	11	6	5
P21502_137_C12W1_1	11	6	5
P21502_137_C12W1_2	7	3	4
P21502_138_C12W1_1	3	1	2
P21502_138_C12W1_2	5	1	4
P21502_139_C12W1_1	6	1	5
P21502_139_C12W1_2	3	2	1
P21502_140_C12W1_1	1187	513	674
P21502_140_C12W1_2	975	419	556
P21502_141_C12W1_1	3	2	1
P21502_141_C12W1_2	3	1	2
P21502_141_C12W1_3	5	2	3
P21502_142_C12W1_1	3020	1282	1738
P21502_142_C12W1_2*	2913	1241	1672
P21502_143_C12W1_1	1	0	1
P21502_143_C12W1_2	1	1	0
P21502_144_C12W1_1	2	1	1
P21502_144_C12W1_2	0	0	0
P21502_145_C12W1_1	6	2	4
P21502_145_C12W1_2*	8	2	6
P21502_146_C12W1_1	0	0	0
P21502_146_C12W1_2	1	1	0
P21502_147_C12W1_1*	10	4	6
P21502_147_C12W1_2	3	2	1
P21502_148_C12W1_1	15	5	10
P21502_148_C12W1_2	13	7	6
P21502_149_C12W1_1	2	0	2
P21502_149_C12W1_2	2	1	1
P21502_150_C12W1_1	6	6	0
P21502_150_C12W1_2	0	0	0
P21502_151_C12W1_1	12	6	6
P21502_151_C12W1_2	22	6	16
P21502_152_C12W1_1**	181	79	102
P21502_152_C12W1_2	22	7	15
P21502_153_C12W1_1	1	0	1
P21502_153_C12W1_2	1	0	1
P21502_154_C12W1_1	0	0	0
P21502_154_C12W1_2	11	2	9
P21502_155_C12W1_1	1	0	1
P21502_155_C12W1_2	0	0	0
P21502_156_C12W1_1	1	0	1
P21502_156_C12W1_2	1	1	0
Unknown1_VGx_C12W1_1	5	1	4
Unknown1_VGx_C12W1_2	3	1	2
Unknown1_VGy_C12W1_1	0	0	0
Unknown1_VGy_C12W1_2	0	0	0
