Barcode	Total	Primer 1	Primer 2
R05_C12W1_1	2	2	0
R05_C12W1_2	0	0	0
P21502_101_C12W1_1*	288	121	167
P21502_101_C12W1_2	237	96	141
P21502_102_C12W1_1	112	46	66
P21502_102_C12W1_2	98	46	52
P21502_103_C12W1_1	2	1	1
P21502_103_C12W1_2**	37	17	20
P21502_104_C12W1_1	13	4	9
P21502_104_C12W1_2	4	2	2
P21502_105_C12W1_1	67	33	34
P21502_105_C12W1_2	53	19	34
P21502_106_C12W1_1	13	7	6
P21502_106_C12W1_2	20	7	13
P21502_108_C12W1_1*	8	2	6
P21502_108_C12W1_2	3	1	2
P21502_109_C12W1_1	12	9	3
P21502_109_C12W1_2	16	9	7
P21502_111_C12W1_1	40	17	23
P21502_111_C12W1_2	26	13	13
P21502_112_C12W1_1	19	10	9
P21502_112_C12W1_2**	37	17	20
P21502_113_C12W1_1	21	10	11
P21502_113_C12W1_2	4	3	1
P21502_114_C12W1_1	7	2	5
P21502_114_C12W1_2	7	4	3
P21502_116_C12W1_1*	40	19	21
P21502_116_C12W1_2	6	2	4
P21502_117_C12W1_1	15	3	12
P21502_117_C12W1_2	9	4	5
P21502_118_C12W1_1	102	50	52
P21502_118_C12W1_2	91	43	48
P21502_119_C12W1_1	11	2	9
P21502_119_C12W1_2	11	9	2
P21502_119_C12W1_3	5	4	1
P21502_120_C12W1_1	7	1	6
P21502_120_C12W1_2	3	0	3
P21502_121_C12W1_1	9	2	7
P21502_121_C12W1_2**	3519	1523	1996
P21502_122_C12W1_1	12	6	6
P21502_122_C12W1_2	17	8	9
P21502_123_C12W1_1	12	5	7
P21502_123_C12W1_2	11	4	7
P21502_124_C12W1_1	141	64	77
P21502_124_C12W1_2	38	13	25
P21502_125_C12W1_1	99	50	49
P21502_125_C12W1_2	101	47	54
P21502_126_C12W1_1	4	2	2
P21502_126_C12W1_2	6	3	3
P21502_127_C12W1_1*	720	313	407
P21502_127_C12W1_2	2	0	2
P21502_128_C12W1_1	9	5	4
P21502_128_C12W1_2	16	8	8
P21502_107_C12W1_1*	288	121	167
P21502_107_C12W1_2	87	44	43
P21502_110_C12W1_1	128	52	76
P21502_110_C12W1_2**	3519	1523	1996
P21502_129_C12W1_1	36	17	19
P21502_129_C12W1_2	33	15	18
P21502_130_C12W1_1	173	74	99
P21502_130_C12W1_2	45	24	21
P21502_131_C12W1_1	9	3	6
P21502_131_C12W1_2	12	4	8
P21502_132_C12W1_1	73	30	43
P21502_132_C12W1_2	28	15	13
P21502_133_C12W1_1	28	7	21
P21502_133_C12W1_2	16	8	8
P21502_134_C12W1_1	40	25	15
P21502_134_C12W1_2	15	7	8
P21502_135_C12W1_1	71	34	37
P21502_135_C12W1_2	72	29	43
P21502_136_C12W1_1	12	4	8
P21502_136_C12W1_2**	37	17	20
P21502_137_C12W1_1	156	69	87
P21502_137_C12W1_2	285	120	165
P21502_138_C12W1_1	30	14	16
P21502_138_C12W1_2	16	4	12
P21502_139_C12W1_1	35	16	19
P21502_139_C12W1_2	33	13	20
P21502_140_C12W1_1	439	184	255
P21502_140_C12W1_2	352	168	184
P21502_141_C12W1_1	35	13	22
P21502_141_C12W1_2	51	17	34
P21502_141_C12W1_3	64	32	32
P21502_142_C12W1_1	854	385	469
P21502_142_C12W1_2*	720	313	407
P21502_143_C12W1_1	24	12	12
P21502_143_C12W1_2	22	6	16
P21502_144_C12W1_1	11	3	8
P21502_144_C12W1_2	11	6	5
P21502_145_C12W1_1	38	13	25
P21502_145_C12W1_2*	40	19	21
P21502_146_C12W1_1	22	11	11
P21502_146_C12W1_2	12	7	5
P21502_147_C12W1_1*	8	2	6
P21502_147_C12W1_2	2	0	2
P21502_148_C12W1_1	233	97	136
P21502_148_C12W1_2	171	73	98
P21502_149_C12W1_1	11	7	4
P21502_149_C12W1_2	9	6	3
P21502_150_C12W1_1	19	9	10
P21502_150_C12W1_2	12	9	3
P21502_151_C12W1_1	289	126	163
P21502_151_C12W1_2	278	123	155
P21502_152_C12W1_1**	3519	1523	1996
P21502_152_C12W1_2	3359	1410	1949
P21502_153_C12W1_1	6	3	3
P21502_153_C12W1_2	7	3	4
P21502_154_C12W1_1	4	1	3
P21502_154_C12W1_2	3	1	2
P21502_155_C12W1_1	8	3	5
P21502_155_C12W1_2	2	1	1
P21502_156_C12W1_1	53	27	26
P21502_156_C12W1_2	32	16	16
Unknown1_VGx_C12W1_1	89	36	53
Unknown1_VGx_C12W1_2	76	38	38
Unknown1_VGy_C12W1_1	3	0	3
Unknown1_VGy_C12W1_2	9	3	6
