Experiment	Population	Treatment	Bottel	Rep	Timepoint	Parameter	Value
GP	GP	Copper	GP_Cu1	1	21	FvFm	0.63
GP	GP	Copper	GP_Cu2	2	21	FvFm	0.65
GP	GP	Copper	GP_Cu3	3	21	FvFm	0.63
GP	GP	Copper	GP_Cu4	4	21	FvFm	0.65
GP	GP	Copper	GP_Cu5	5	21	FvFm	0.63
GP	RO5AC	Control	RO5AC_GP_C	1	21	FvFm	0.61
GP	RO5AC	Copper	RO5AC_GP_Cu	1	21	FvFm	NA
VG	VG	Control	VG_C1	1	21	FvFm	0.66
VG	VG	Control	VG_C2	2	21	FvFm	0.65
VG	VG	Control	VG_C3	3	21	FvFm	0.68
VG	VG	Control	VG_C4	4	21	FvFm	0.67
VG	VG	Control	VG_C5	5	21	FvFm	0.68
VG	VG	Copper	VG_Cu1	1	21	FvFm	0.67
VG	VG	Copper	VG_Cu2	2	21	FvFm	0.64
VG	VG	Copper	VG_Cu3	3	21	FvFm	0.65
VG	VG	Copper	VG_Cu4	4	21	FvFm	0.68
VG	VG	Copper	VG_Cu5	5	21	FvFm	0.64
VG	RO5AC	Control	RO5AC_VG_C	2	21	FvFm	0.64
VG	RO5AC	Copper	RO5AC_VG_Cu	2	21	FvFm	0.67
GP	GP	Control	GP_C1	1	24	FvFm	0.63
GP	GP	Control	GP_C2	2	24	FvFm	0.64
GP	GP	Control	GP_C3	3	24	FvFm	0.63
GP	GP	Control	GP_C4	4	24	FvFm	0.63
GP	GP	Control	GP_C5	5	24	FvFm	0.64
GP	GP	Copper	GP_Cu1	1	24	FvFm	0.61
GP	GP	Copper	GP_Cu2	2	24	FvFm	0.62
GP	GP	Copper	GP_Cu3	3	24	FvFm	0.63
GP	GP	Copper	GP_Cu4	4	24	FvFm	0.63
GP	GP	Copper	GP_Cu5	5	24	FvFm	0.64
GP	RO5AC	Control	RO5AC_GP_C	1	24	FvFm	0.64
GP	RO5AC	Copper	RO5AC_GP_Cu	1	24	FvFm	NA
VG	VG	Control	VG_C1	1	24	FvFm	0.64
VG	VG	Control	VG_C2	2	24	FvFm	0.66
VG	VG	Control	VG_C3	3	24	FvFm	0.66
VG	VG	Control	VG_C4	4	24	FvFm	0.67
VG	VG	Control	VG_C5	5	24	FvFm	0.66
VG	VG	Copper	VG_Cu1	1	24	FvFm	0.64
VG	VG	Copper	VG_Cu2	2	24	FvFm	0.64
VG	VG	Copper	VG_Cu3	3	24	FvFm	0.66
VG	VG	Copper	VG_Cu4	4	24	FvFm	0.66
VG	VG	Copper	VG_Cu5	5	24	FvFm	0.67
VG	RO5AC	Control	RO5AC_VG_C	2	24	FvFm	0.66
VG	RO5AC	Copper	RO5AC_VG_Cu	2	24	FvFm	0.67
GP	GP	Control	GP_C1	1	27	FvFm	0.65
GP	GP	Control	GP_C2	2	27	FvFm	0.65
GP	GP	Control	GP_C3	3	27	FvFm	0.66
GP	GP	Control	GP_C4	4	27	FvFm	0.65
GP	GP	Control	GP_C5	5	27	FvFm	0.66
GP	GP	Copper	GP_Cu1	1	27	FvFm	0.63
GP	GP	Copper	GP_Cu2	2	27	FvFm	0.64
GP	GP	Copper	GP_Cu3	3	27	FvFm	0.64
GP	GP	Copper	GP_Cu4	4	27	FvFm	0.67
GP	GP	Copper	GP_Cu5	5	27	FvFm	0.64
GP	RO5AC	Control	RO5AC_GP_C	1	27	FvFm	0.66
GP	RO5AC	Copper	RO5AC_GP_Cu	1	27	FvFm	0.64
VG	VG	Control	VG_C1	1	27	FvFm	0.67
VG	VG	Control	VG_C2	2	27	FvFm	0.67
VG	VG	Control	VG_C3	3	27	FvFm	0.68
VG	VG	Control	VG_C4	4	27	FvFm	0.68
VG	VG	Control	VG_C5	5	27	FvFm	0.68
VG	VG	Copper	VG_Cu1	1	27	FvFm	0.67
VG	VG	Copper	VG_Cu2	2	27	FvFm	0.65
VG	VG	Copper	VG_Cu3	3	27	FvFm	0.65
VG	VG	Copper	VG_Cu4	4	27	FvFm	0.67
VG	VG	Copper	VG_Cu5	5	27	FvFm	0.68
VG	RO5AC	Control	RO5AC_VG_C	2	27	FvFm	0.67
VG	RO5AC	Copper	RO5AC_VG_Cu	2	27	FvFm	0.68
GP	GP	Control	GP_C1	1	30	FvFm	0.64
GP	GP	Control	GP_C2	2	30	FvFm	0.65
GP	GP	Control	GP_C3	3	30	FvFm	0.66
GP	GP	Control	GP_C4	4	30	FvFm	0.66
GP	GP	Control	GP_C5	5	30	FvFm	0.66
GP	GP	Copper	GP_Cu1	1	30	FvFm	0.65
GP	GP	Copper	GP_Cu2	2	30	FvFm	0.64
GP	GP	Copper	GP_Cu3	3	30	FvFm	0.64
GP	GP	Copper	GP_Cu4	4	30	FvFm	0.67
GP	GP	Copper	GP_Cu5	5	30	FvFm	0.66
GP	RO5AC	Control	RO5AC_GP_C	1	30	FvFm	0.65
GP	RO5AC	Copper	RO5AC_GP_Cu	1	30	FvFm	0.64
VG	VG	Control	VG_C1	1	30	FvFm	0.64
VG	VG	Control	VG_C2	2	30	FvFm	0.65
VG	VG	Control	VG_C3	3	30	FvFm	0.65
VG	VG	Control	VG_C4	4	30	FvFm	0.66
VG	VG	Control	VG_C5	5	30	FvFm	0.66
VG	VG	Copper	VG_Cu1	1	30	FvFm	0.61
VG	VG	Copper	VG_Cu2	2	30	FvFm	0.63
VG	VG	Copper	VG_Cu3	3	30	FvFm	0.61
VG	VG	Copper	VG_Cu4	4	30	FvFm	0.65
VG	VG	Copper	VG_Cu5	5	30	FvFm	0.66
VG	RO5AC	Control	RO5AC_VG_C	2	30	FvFm	0.65
VG	RO5AC	Copper	RO5AC_VG_Cu	2	30	FvFm	0.66
GP	GP	Control	GP_C1	1	31	FvFm	0.56
GP	GP	Control	GP_C2	2	31	FvFm	0.63
GP	GP	Control	GP_C3	3	31	FvFm	0.62
GP	GP	Control	GP_C4	4	31	FvFm	0.65
GP	GP	Control	GP_C5	5	31	FvFm	0.66
GP	GP	Copper	GP_Cu1	1	31	FvFm	0.57
GP	GP	Copper	GP_Cu2	2	31	FvFm	0.59
GP	GP	Copper	GP_Cu3	3	31	FvFm	0.62
GP	GP	Copper	GP_Cu4	4	31	FvFm	0.58
GP	GP	Copper	GP_Cu5	5	31	FvFm	0.61
GP	RO5AC	Control	RO5AC_GP_C	1	31	FvFm	NA
GP	RO5AC	Copper	RO5AC_GP_Cu	1	31	FvFm	0.62
VG	VG	Control	VG_C1	1	31	FvFm	0.6
VG	VG	Control	VG_C2	2	31	FvFm	0.62
VG	VG	Control	VG_C3	3	31	FvFm	0.62
VG	VG	Control	VG_C4	4	31	FvFm	0.66
VG	VG	Control	VG_C5	5	31	FvFm	0.65
VG	VG	Copper	VG_Cu1	1	31	FvFm	0.64
VG	VG	Copper	VG_Cu2	2	31	FvFm	0.63
VG	VG	Copper	VG_Cu3	3	31	FvFm	0.65
VG	VG	Copper	VG_Cu4	4	31	FvFm	0.66
VG	VG	Copper	VG_Cu5	5	31	FvFm	0.68
VG	RO5AC	Control	RO5AC_VG_C	2	31	FvFm	0.6
VG	RO5AC	Copper	RO5AC_VG_Cu	2	31	FvFm	0.64
GP	GP	Control	GP_C1	1	32	FvFm	0.63
GP	GP	Control	GP_C2	2	32	FvFm	0.66
GP	GP	Control	GP_C3	3	32	FvFm	0.65
GP	GP	Control	GP_C4	4	32	FvFm	0.64
GP	GP	Control	GP_C5	5	32	FvFm	0.66
GP	GP	Copper	GP_Cu1	1	32	FvFm	0.62
GP	GP	Copper	GP_Cu2	2	32	FvFm	0.64
GP	GP	Copper	GP_Cu3	3	32	FvFm	0.63
GP	GP	Copper	GP_Cu4	4	32	FvFm	0.65
GP	GP	Copper	GP_Cu5	5	32	FvFm	0.64
GP	RO5AC	Control	RO5AC_GP_C	1	32	FvFm	0.66
GP	RO5AC	Copper	RO5AC_GP_Cu	1	32	FvFm	0.64
VG	VG	Control	VG_C1	1	32	FvFm	0.65
VG	VG	Control	VG_C2	2	32	FvFm	0.66
VG	VG	Control	VG_C3	3	32	FvFm	0.68
VG	VG	Control	VG_C4	4	32	FvFm	0.61
VG	VG	Control	VG_C5	5	32	FvFm	0.65
VG	VG	Copper	VG_Cu1	1	32	FvFm	0.61
VG	VG	Copper	VG_Cu2	2	32	FvFm	0.65
VG	VG	Copper	VG_Cu3	3	32	FvFm	0.63
VG	VG	Copper	VG_Cu4	4	32	FvFm	0.64
VG	VG	Copper	VG_Cu5	5	32	FvFm	0.66
VG	RO5AC	Control	RO5AC_VG_C	2	32	FvFm	0.69
VG	RO5AC	Copper	RO5AC_VG_Cu	2	32	FvFm	0.66
GP	GP	Control	GP_C1	1	33	FvFm	0.64
GP	GP	Control	GP_C2	2	33	FvFm	0.65
GP	GP	Control	GP_C3	3	33	FvFm	0.65
GP	GP	Control	GP_C4	4	33	FvFm	0.65
GP	GP	Control	GP_C5	5	33	FvFm	0.65
GP	GP	Copper	GP_Cu1	1	33	FvFm	0.63
GP	GP	Copper	GP_Cu2	2	33	FvFm	0.65
GP	GP	Copper	GP_Cu3	3	33	FvFm	0.64
GP	GP	Copper	GP_Cu4	4	33	FvFm	0.66
GP	GP	Copper	GP_Cu5	5	33	FvFm	0.64
GP	RO5AC	Control	RO5AC_GP_C	1	33	FvFm	0.66
GP	RO5AC	Copper	RO5AC_GP_Cu	1	33	FvFm	0.66
VG	VG	Control	VG_C1	1	33	FvFm	0.65
VG	VG	Control	VG_C2	2	33	FvFm	0.66
VG	VG	Control	VG_C3	3	33	FvFm	0.66
VG	VG	Control	VG_C4	4	33	FvFm	0.64
VG	VG	Control	VG_C5	5	33	FvFm	0.66
VG	VG	Copper	VG_Cu1	1	33	FvFm	0.66
VG	VG	Copper	VG_Cu2	2	33	FvFm	0.63
VG	VG	Copper	VG_Cu3	3	33	FvFm	0.65
VG	VG	Copper	VG_Cu4	4	33	FvFm	0.62
VG	VG	Copper	VG_Cu5	5	33	FvFm	0.65
VG	RO5AC	Control	RO5AC_VG_C	2	33	FvFm	0.66
VG	RO5AC	Copper	RO5AC_VG_Cu	2	33	FvFm	0.66
GP	GP	Control	GP_C1	1	36	FvFm	0.65
GP	GP	Control	GP_C2	2	36	FvFm	0.65
GP	GP	Control	GP_C3	3	36	FvFm	0.66
GP	GP	Control	GP_C4	4	36	FvFm	0.65
GP	GP	Control	GP_C5	5	36	FvFm	0.66
GP	GP	Copper	GP_Cu1	1	36	FvFm	0.64
GP	GP	Copper	GP_Cu2	2	36	FvFm	0.66
GP	GP	Copper	GP_Cu3	3	36	FvFm	0.65
GP	GP	Copper	GP_Cu4	4	36	FvFm	0.67
GP	GP	Copper	GP_Cu5	5	36	FvFm	0.67
GP	RO5AC	Control	RO5AC_GP_C	1	36	FvFm	0.67
GP	RO5AC	Copper	RO5AC_GP_Cu	1	36	FvFm	0.66
VG	VG	Control	VG_C1	1	36	FvFm	0.66
VG	VG	Control	VG_C2	2	36	FvFm	0.65
VG	VG	Control	VG_C3	3	36	FvFm	0.65
VG	VG	Control	VG_C4	4	36	FvFm	0.65
VG	VG	Control	VG_C5	5	36	FvFm	0.65
VG	VG	Copper	VG_Cu1	1	36	FvFm	0.67
VG	VG	Copper	VG_Cu2	2	36	FvFm	0.63
VG	VG	Copper	VG_Cu3	3	36	FvFm	0.6
VG	VG	Copper	VG_Cu4	4	36	FvFm	0.52
VG	VG	Copper	VG_Cu5	5	36	FvFm	0.54
VG	RO5AC	Control	RO5AC_VG_C	2	36	FvFm	0.62
VG	RO5AC	Copper	RO5AC_VG_Cu	2	36	FvFm	0.65
GP	GP	Control	GP_C1	1	39	FvFm	0.64
GP	GP	Control	GP_C2	2	39	FvFm	0.63
GP	GP	Control	GP_C3	3	39	FvFm	0.65
GP	GP	Control	GP_C4	4	39	FvFm	0.65
GP	GP	Control	GP_C5	5	39	FvFm	0.66
GP	GP	Copper	GP_Cu1	1	39	FvFm	0.63
GP	GP	Copper	GP_Cu2	2	39	FvFm	0.65
GP	GP	Copper	GP_Cu3	3	39	FvFm	0.63
GP	GP	Copper	GP_Cu4	4	39	FvFm	0.66
GP	GP	Copper	GP_Cu5	5	39	FvFm	0.64
GP	RO5AC	Control	RO5AC_GP_C	1	39	FvFm	0.65
GP	RO5AC	Copper	RO5AC_GP_Cu	1	39	FvFm	0.66
VG	VG	Control	VG_C1	1	39	FvFm	0.67
VG	VG	Control	VG_C2	2	39	FvFm	0.64
VG	VG	Control	VG_C3	3	39	FvFm	0.67
VG	VG	Control	VG_C4	4	39	FvFm	0.64
VG	VG	Control	VG_C5	5	39	FvFm	0.67
VG	VG	Copper	VG_Cu1	1	39	FvFm	0.65
VG	VG	Copper	VG_Cu2	2	39	FvFm	0.61
VG	VG	Copper	VG_Cu3	3	39	FvFm	0.63
VG	VG	Copper	VG_Cu4	4	39	FvFm	0.65
VG	VG	Copper	VG_Cu5	5	39	FvFm	0.65
VG	RO5AC	Control	RO5AC_VG_C	2	39	FvFm	0.65
VG	RO5AC	Copper	RO5AC_VG_Cu	2	39	FvFm	0.67
GP	GP	Control	GP_C1	1	42	FvFm	0.64
GP	GP	Control	GP_C2	2	42	FvFm	0.64
GP	GP	Control	GP_C3	3	42	FvFm	0.65
GP	GP	Control	GP_C4	4	42	FvFm	0.65
GP	GP	Control	GP_C5	5	42	FvFm	0.65
GP	GP	Copper	GP_Cu1	1	42	FvFm	0.63
GP	GP	Copper	GP_Cu2	2	42	FvFm	0.65
GP	GP	Copper	GP_Cu3	3	42	FvFm	0.62
GP	GP	Copper	GP_Cu4	4	42	FvFm	0.65
GP	GP	Copper	GP_Cu5	5	42	FvFm	0.64
GP	RO5AC	Control	RO5AC_GP_C	1	42	FvFm	0.66
GP	RO5AC	Copper	RO5AC_GP_Cu	1	42	FvFm	0.66
VG	VG	Control	VG_C1	1	42	FvFm	0.66
VG	VG	Control	VG_C2	2	42	FvFm	0.66
VG	VG	Control	VG_C3	3	42	FvFm	0.65
VG	VG	Control	VG_C4	4	42	FvFm	0.66
VG	VG	Control	VG_C5	5	42	FvFm	0.66
VG	VG	Copper	VG_Cu1	1	42	FvFm	0.64
VG	VG	Copper	VG_Cu2	2	42	FvFm	0.64
VG	VG	Copper	VG_Cu3	3	42	FvFm	0.64
VG	VG	Copper	VG_Cu4	4	42	FvFm	0.63
VG	VG	Copper	VG_Cu5	5	42	FvFm	0.64
VG	RO5AC	Control	RO5AC_VG_C	2	42	FvFm	0.63
VG	RO5AC	Copper	RO5AC_VG_Cu	2	42	FvFm	0.65
VG	VG	Control	VG_C1	1	0	pH	7.716969697
VG	VG	Control	VG_C2	2	0	pH	7.716969697
VG	VG	Control	VG_C3	3	0	pH	7.716969697
VG	VG	Control	VG_C4	4	0	pH	7.716969697
VG	VG	Control	VG_C5	5	0	pH	7.716969697
VG	VG	Copper	VG_Cu1	1	0	pH	7.716969697
VG	VG	Copper	VG_Cu2	2	0	pH	7.716969697
VG	VG	Copper	VG_Cu3	3	0	pH	7.716969697
VG	VG	Copper	VG_Cu4	4	0	pH	7.716969697
VG	VG	Copper	VG_Cu5	5	0	pH	7.716969697
VG	RO5AC	Control	RO5AC_VG_C	2	0	pH	7.68
VG	RO5AC	Copper	RO5AC_VG_Cu	2	0	pH	7.68
GP	GP	Control	GP_C1	1	0	pH	7.967741935
GP	GP	Control	GP_C2	2	0	pH	7.967741935
GP	GP	Control	GP_C3	3	0	pH	7.967741935
GP	GP	Control	GP_C4	4	0	pH	7.967741935
GP	GP	Control	GP_C5	5	0	pH	7.967741935
GP	GP	Copper	GP_Cu1	1	0	pH	7.967741935
GP	GP	Copper	GP_Cu2	2	0	pH	7.967741935
GP	GP	Copper	GP_Cu3	3	0	pH	7.967741935
GP	GP	Copper	GP_Cu4	4	0	pH	7.967741935
GP	GP	Copper	GP_Cu5	5	0	pH	7.967741935
GP	RO5AC	Control	RO5AC_GP_C	1	0	pH	8.01
GP	RO5AC	Copper	RO5AC_GP_Cu	1	0	pH	8.01
VG	VG	Control	VG_C1	1	1	pH	7.93
VG	VG	Control	VG_C2	2	1	pH	7.95
VG	VG	Control	VG_C3	3	1	pH	7.96
VG	VG	Control	VG_C4	4	1	pH	7.95
VG	VG	Control	VG_C5	5	1	pH	7.95
VG	VG	Copper	VG_Cu1	1	1	pH	7.94
VG	VG	Copper	VG_Cu2	2	1	pH	7.95
VG	VG	Copper	VG_Cu3	3	1	pH	7.96
VG	VG	Copper	VG_Cu4	4	1	pH	7.97
VG	VG	Copper	VG_Cu5	5	1	pH	7.95
VG	RO5AC	Control	RO5AC_VG_C	2	1	pH	7.95
VG	RO5AC	Copper	RO5AC_VG_Cu	2	1	pH	7.96
GP	GP	Control	GP_C1	1	1	pH	7.93
GP	GP	Control	GP_C2	2	1	pH	7.86
GP	GP	Control	GP_C3	3	1	pH	7.88
GP	GP	Control	GP_C4	4	1	pH	7.9
GP	GP	Control	GP_C5	5	1	pH	7.89
GP	GP	Copper	GP_Cu1	1	1	pH	7.74
GP	GP	Copper	GP_Cu2	2	1	pH	7.85
GP	GP	Copper	GP_Cu3	3	1	pH	7.83
GP	GP	Copper	GP_Cu4	4	1	pH	7.86
GP	GP	Copper	GP_Cu5	5	1	pH	7.84
GP	RO5AC	Control	RO5AC_GP_C	1	1	pH	7.9
GP	RO5AC	Copper	RO5AC_GP_Cu	1	1	pH	7.83
VG	VG	Control	VG_C1	1	2	pH	7.82
VG	VG	Control	VG_C2	2	2	pH	7.85
VG	VG	Control	VG_C3	3	2	pH	7.84
VG	VG	Control	VG_C4	4	2	pH	7.85
VG	VG	Control	VG_C5	5	2	pH	7.86
VG	VG	Copper	VG_Cu1	1	2	pH	7.8
VG	VG	Copper	VG_Cu2	2	2	pH	7.82
VG	VG	Copper	VG_Cu3	3	2	pH	7.84
VG	VG	Copper	VG_Cu4	4	2	pH	7.83
VG	VG	Copper	VG_Cu5	5	2	pH	7.85
VG	RO5AC	Control	RO5AC_VG_C	2	2	pH	7.86
VG	RO5AC	Copper	RO5AC_VG_Cu	2	2	pH	7.85
GP	GP	Control	GP_C1	1	2	pH	7.95
GP	GP	Control	GP_C2	2	2	pH	7.91
GP	GP	Control	GP_C3	3	2	pH	7.9
GP	GP	Control	GP_C4	4	2	pH	7.91
GP	GP	Control	GP_C5	5	2	pH	7.92
GP	GP	Copper	GP_Cu1	1	2	pH	7.92
GP	GP	Copper	GP_Cu2	2	2	pH	7.92
GP	GP	Copper	GP_Cu3	3	2	pH	7.94
GP	GP	Copper	GP_Cu4	4	2	pH	7.92
GP	GP	Copper	GP_Cu5	5	2	pH	7.93
GP	RO5AC	Control	RO5AC_GP_C	1	2	pH	7.92
GP	RO5AC	Copper	RO5AC_GP_Cu	1	2	pH	7.93
VG	VG	Control	VG_C1	1	3	pH	8.06
VG	VG	Control	VG_C2	2	3	pH	8.06
VG	VG	Control	VG_C3	3	3	pH	8.26
VG	VG	Control	VG_C4	4	3	pH	8.24
VG	VG	Control	VG_C5	5	3	pH	8.2
VG	VG	Copper	VG_Cu1	1	3	pH	7.98
VG	VG	Copper	VG_Cu2	2	3	pH	7.97
VG	VG	Copper	VG_Cu3	3	3	pH	7.98
VG	VG	Copper	VG_Cu4	4	3	pH	7.96
VG	VG	Copper	VG_Cu5	5	3	pH	8.04
VG	RO5AC	Control	RO5AC_VG_C	2	3	pH	8.2
VG	RO5AC	Copper	RO5AC_VG_Cu	2	3	pH	7.98
GP	GP	Control	GP_C1	1	3	pH	8
GP	GP	Control	GP_C2	2	3	pH	8.05
GP	GP	Control	GP_C3	3	3	pH	8.07
GP	GP	Control	GP_C4	4	3	pH	8.01
GP	GP	Control	GP_C5	5	3	pH	8.05
GP	GP	Copper	GP_Cu1	1	3	pH	7.89
GP	GP	Copper	GP_Cu2	2	3	pH	8.04
GP	GP	Copper	GP_Cu3	3	3	pH	8
GP	GP	Copper	GP_Cu4	4	3	pH	8.01
GP	GP	Copper	GP_Cu5	5	3	pH	8.01
GP	RO5AC	Control	RO5AC_GP_C	1	3	pH	8.06
GP	RO5AC	Copper	RO5AC_GP_Cu	1	3	pH	8.01
VG	VG	Control	VG_C1	1	6	pH	7.67
VG	VG	Control	VG_C2	2	6	pH	7.81
VG	VG	Control	VG_C3	3	6	pH	7.94
VG	VG	Control	VG_C4	4	6	pH	7.93
VG	VG	Control	VG_C5	5	6	pH	7.93
VG	VG	Copper	VG_Cu1	1	6	pH	7.86
VG	VG	Copper	VG_Cu2	2	6	pH	7.86
VG	VG	Copper	VG_Cu3	3	6	pH	7.91
VG	VG	Copper	VG_Cu4	4	6	pH	7.9
VG	VG	Copper	VG_Cu5	5	6	pH	7.9
VG	RO5AC	Control	RO5AC_VG_C	2	6	pH	7.89
VG	RO5AC	Copper	RO5AC_VG_Cu	2	6	pH	7.91
GP	GP	Control	GP_C1	1	6	pH	8.16
GP	GP	Control	GP_C2	2	6	pH	8.17
GP	GP	Control	GP_C3	3	6	pH	8.2
GP	GP	Control	GP_C4	4	6	pH	8.18
GP	GP	Control	GP_C5	5	6	pH	8.19
GP	GP	Copper	GP_Cu1	1	6	pH	8
GP	GP	Copper	GP_Cu2	2	6	pH	8.01
GP	GP	Copper	GP_Cu3	3	6	pH	8.02
GP	GP	Copper	GP_Cu4	4	6	pH	8.04
GP	GP	Copper	GP_Cu5	5	6	pH	8.04
GP	RO5AC	Control	RO5AC_GP_C	1	6	pH	8.1
GP	RO5AC	Copper	RO5AC_GP_Cu	1	6	pH	8.05
VG	VG	Control	VG_C1	1	9	pH	8.02
VG	VG	Control	VG_C2	2	9	pH	8.06
VG	VG	Control	VG_C3	3	9	pH	8.12
VG	VG	Control	VG_C4	4	9	pH	8.07
VG	VG	Control	VG_C5	5	9	pH	8.08
VG	VG	Copper	VG_Cu1	1	9	pH	7.95
VG	VG	Copper	VG_Cu2	2	9	pH	7.89
VG	VG	Copper	VG_Cu3	3	9	pH	7.89
VG	VG	Copper	VG_Cu4	4	9	pH	7.9
VG	VG	Copper	VG_Cu5	5	9	pH	7.93
VG	RO5AC	Control	RO5AC_VG_C	2	9	pH	8.05
VG	RO5AC	Copper	RO5AC_VG_Cu	2	9	pH	7.92
GP	GP	Control	GP_C1	1	9	pH	8.02
GP	GP	Control	GP_C2	2	9	pH	8.06
GP	GP	Control	GP_C3	3	9	pH	8.09
GP	GP	Control	GP_C4	4	9	pH	8.12
GP	GP	Control	GP_C5	5	9	pH	8.06
GP	GP	Copper	GP_Cu1	1	9	pH	8
GP	GP	Copper	GP_Cu2	2	9	pH	8.02
GP	GP	Copper	GP_Cu3	3	9	pH	8.03
GP	GP	Copper	GP_Cu4	4	9	pH	8.04
GP	GP	Copper	GP_Cu5	5	9	pH	8.03
GP	RO5AC	Control	RO5AC_GP_C	1	9	pH	8.18
GP	RO5AC	Copper	RO5AC_GP_Cu	1	9	pH	8.05
VG	VG	Control	VG_C1	1	12	pH	8
VG	VG	Control	VG_C2	2	12	pH	8.04
VG	VG	Control	VG_C3	3	12	pH	8.03
VG	VG	Control	VG_C4	4	12	pH	8.08
VG	VG	Control	VG_C5	5	12	pH	8.08
VG	VG	Copper	VG_Cu1	1	12	pH	7.95
VG	VG	Copper	VG_Cu2	2	12	pH	7.94
VG	VG	Copper	VG_Cu3	3	12	pH	7.95
VG	VG	Copper	VG_Cu4	4	12	pH	7.96
VG	VG	Copper	VG_Cu5	5	12	pH	7.97
VG	RO5AC	Control	RO5AC_VG_C	2	12	pH	8.05
VG	RO5AC	Copper	RO5AC_VG_Cu	2	12	pH	7.94
GP	GP	Control	GP_C1	1	12	pH	8.03
GP	GP	Control	GP_C2	2	12	pH	8.07
GP	GP	Control	GP_C3	3	12	pH	8.08
GP	GP	Control	GP_C4	4	12	pH	8.11
GP	GP	Control	GP_C5	5	12	pH	8.08
GP	GP	Copper	GP_Cu1	1	12	pH	7.95
GP	GP	Copper	GP_Cu2	2	12	pH	7.98
GP	GP	Copper	GP_Cu3	3	12	pH	8
GP	GP	Copper	GP_Cu4	4	12	pH	8.01
GP	GP	Copper	GP_Cu5	5	12	pH	8.01
GP	RO5AC	Control	RO5AC_GP_C	1	12	pH	8.09
GP	RO5AC	Copper	RO5AC_GP_Cu	1	12	pH	8
VG	VG	Control	VG_C1	1	15	pH	8.1
VG	VG	Control	VG_C2	2	15	pH	8.08
VG	VG	Control	VG_C3	3	15	pH	8.08
VG	VG	Control	VG_C4	4	15	pH	8.09
VG	VG	Control	VG_C5	5	15	pH	8.08
VG	VG	Copper	VG_Cu1	1	15	pH	8.04
VG	VG	Copper	VG_Cu2	2	15	pH	8.04
VG	VG	Copper	VG_Cu3	3	15	pH	8.05
VG	VG	Copper	VG_Cu4	4	15	pH	8.06
VG	VG	Copper	VG_Cu5	5	15	pH	8.05
VG	RO5AC	Control	RO5AC_VG_C	2	15	pH	8.08
VG	RO5AC	Copper	RO5AC_VG_Cu	2	15	pH	8.04
GP	GP	Control	GP_C1	1	15	pH	8.1
GP	GP	Control	GP_C2	2	15	pH	8.16
GP	GP	Control	GP_C3	3	15	pH	8.22
GP	GP	Control	GP_C4	4	15	pH	8.2
GP	GP	Control	GP_C5	5	15	pH	8.18
GP	GP	Copper	GP_Cu1	1	15	pH	8.01
GP	GP	Copper	GP_Cu2	2	15	pH	8.03
GP	GP	Copper	GP_Cu3	3	15	pH	8.06
GP	GP	Copper	GP_Cu4	4	15	pH	8.11
GP	GP	Copper	GP_Cu5	5	15	pH	8.05
GP	RO5AC	Control	RO5AC_GP_C	1	15	pH	8.15
GP	RO5AC	Copper	RO5AC_GP_Cu	1	15	pH	8.06
VG	VG	Control	VG_C1	1	16	pH	8.01
VG	VG	Control	VG_C2	2	16	pH	8
VG	VG	Control	VG_C3	3	16	pH	7.9
VG	VG	Control	VG_C4	4	16	pH	7.91
VG	VG	Control	VG_C5	5	16	pH	7.92
VG	VG	Copper	VG_Cu1	1	16	pH	7.91
VG	VG	Copper	VG_Cu2	2	16	pH	7.92
VG	VG	Copper	VG_Cu3	3	16	pH	7.9
VG	VG	Copper	VG_Cu4	4	16	pH	7.91
VG	VG	Copper	VG_Cu5	5	16	pH	7.93
VG	RO5AC	Control	RO5AC_VG_C	2	16	pH	7.94
VG	RO5AC	Copper	RO5AC_VG_Cu	2	16	pH	7.9
GP	GP	Control	GP_C1	1	16	pH	7.93
GP	GP	Control	GP_C2	2	16	pH	7.98
GP	GP	Control	GP_C3	3	16	pH	8
GP	GP	Control	GP_C4	4	16	pH	8.01
GP	GP	Control	GP_C5	5	16	pH	8.01
GP	GP	Copper	GP_Cu1	1	16	pH	8.03
GP	GP	Copper	GP_Cu2	2	16	pH	7.92
GP	GP	Copper	GP_Cu3	3	16	pH	7.99
GP	GP	Copper	GP_Cu4	4	16	pH	7.99
GP	GP	Copper	GP_Cu5	5	16	pH	8.02
GP	RO5AC	Control	RO5AC_GP_C	1	16	pH	8.03
GP	RO5AC	Copper	RO5AC_GP_Cu	1	16	pH	8.04
VG	VG	Control	VG_C1	1	17	pH	8.02
VG	VG	Control	VG_C2	2	17	pH	8.01
VG	VG	Control	VG_C3	3	17	pH	8.02
VG	VG	Control	VG_C4	4	17	pH	8
VG	VG	Control	VG_C5	5	17	pH	8.02
VG	VG	Copper	VG_Cu1	1	17	pH	7.98
VG	VG	Copper	VG_Cu2	2	17	pH	7.95
VG	VG	Copper	VG_Cu3	3	17	pH	7.95
VG	VG	Copper	VG_Cu4	4	17	pH	7.96
VG	VG	Copper	VG_Cu5	5	17	pH	7.99
VG	RO5AC	Control	RO5AC_VG_C	2	17	pH	7.99
VG	RO5AC	Copper	RO5AC_VG_Cu	2	17	pH	7.98
GP	GP	Control	GP_C1	1	17	pH	8
GP	GP	Control	GP_C2	2	17	pH	8.01
GP	GP	Control	GP_C3	3	17	pH	8.04
GP	GP	Control	GP_C4	4	17	pH	8.04
