Barcode	Uniqe_all	Uniqe_pop	Homologs	Strain	Keep_VG	Keep_GP	Keep_1copy	Index
P21502_137_C12W1_1	Yes	Yes	ck	VG1-2_66	Yes	Yes	Yes	69
P21502_137_C12W1_2	Yes	Yes	cl	VG1-2_66	Yes	Yes	Yes	70
P21502_138_C12W1_1	Yes	Yes	cm	VG1-2_67	Yes	Yes	Yes	71
P21502_138_C12W1_2	Yes	Yes	cn	VG1-2_67	Yes	Yes	Yes	72
P21502_139_C12W1_1	Yes	Yes	co	VG1-2_72	Yes	Yes	Yes	73
P21502_139_C12W1_2	Yes	Yes	cp	VG1-2_72	Yes	Yes	Yes	74
P21502_140_C12W1_1	Yes	Yes	cq	VG1-2_74	Yes	Yes	Yes	75
P21502_140_C12W1_2	Yes	Yes	cr	VG1-2_74	Yes	Yes	Yes	76
P21502_141_C12W1_1	Yes	Yes	cs	VG1-2_78	Yes	Yes	Yes	77
P21502_141_C12W1_2	Yes	Yes	ct	VG1-2_78	Yes	Yes	Yes	78
P21502_141_C12W1_3	Yes	Yes	cu	VG1-2_78	Yes	Yes	Yes	79
P21502_142_C12W1_1	Yes	Yes	cv	VG1-2_81	Yes	Yes	Yes	80
P21502_143_C12W1_1	Yes	Yes	cw	VG1-2_83	Yes	Yes	Yes	82
P21502_143_C12W1_2	Yes	Yes	cx	VG1-2_83	Yes	Yes	Yes	83
P21502_144_C12W1_1	Yes	Yes	cy	VG1-2_85	Yes	Yes	Yes	84
P21502_144_C12W1_2	Yes	Yes	cz	VG1-2_85	Yes	Yes	Yes	85
P21502_145_C12W1_1	Yes	Yes	da	VG1-2_86	Yes	Yes	Yes	86
P21502_146_C12W1_1	Yes	Yes	db	VG1-2_88	Yes	Yes	Yes	88
P21502_146_C12W1_2	Yes	Yes	dd	VG1-2_88	Yes	Yes	Yes	89
P21502_147_C12W1_2	Yes	Yes	de	VG1-2_89	Yes	Yes	Yes	91
P21502_148_C12W1_1	Yes	Yes	df	VG1-2_90	Yes	Yes	Yes	92
P21502_148_C12W1_2	Yes	Yes	dg	VG1-2_90	Yes	Yes	Yes	93
P21502_149_C12W1_1	Yes	Yes	dh	VG1-2_93	Yes	Yes	Yes	94
P21502_149_C12W1_2	Yes	Yes	di	VG1-2_93	Yes	Yes	Yes	95
P21502_150_C12W1_1	Yes	Yes	dj	VG1-2_94	Yes	Yes	Yes	96
P21502_150_C12W1_2	Yes	Yes	dk	VG1-2_94	Yes	Yes	Yes	97
P21502_151_C12W1_1	Yes	Yes	dl	VG1-2_95	Yes	Yes	Yes	98
P21502_151_C12W1_2	Yes	Yes	dm	VG1-2_95	Yes	Yes	Yes	99
P21502_152_C12W1_2	Yes	Yes	dn	VG1-2_103	Yes	Yes	Yes	101
P21502_153_C12W1_1	Yes	Yes	do	VG1-2_104	Yes	Yes	Yes	102
P21502_153_C12W1_2	Yes	Yes	dp	VG1-2_104	Yes	Yes	Yes	103
P21502_154_C12W1_1	Yes	Yes	dq	VG1-2_105	Yes	Yes	Yes	104
P21502_154_C12W1_2	Yes	Yes	dr	VG1-2_105	Yes	Yes	Yes	105
P21502_155_C12W1_1	Yes	Yes	ds	VG1-2_106	Yes	Yes	Yes	106
P21502_155_C12W1_2	Yes	Yes	dt	VG1-2_106	Yes	Yes	Yes	107
P21502_156_C12W1_1	Yes	Yes	du	VG1-2_107	Yes	Yes	Yes	108
P21502_156_C12W1_2	Yes	Yes	dv	VG1-2_107	Yes	Yes	Yes	109
R05_C12W1_1	Yes	Yes	dx	RO5AC	Yes	Yes	Yes	110
R05_C12W1_2	Yes	Yes	dy	RO5AC	Yes	Yes	Yes	111
Unknown_VG_1	Yes	Yes	dz	VG1-2_65or99	Yes	Yes	Yes	112
Unknown_VG_2	Yes	Yes	ea	VG1-2_65or99	Yes	Yes	Yes	113
Unknown_VG_3	Yes	Yes	eb	VG1-2_99or65	Yes	Yes	Yes	114
Unknown_VG_4	Yes	Yes	ec	VG1-2_99or65	Yes	Yes	Yes	115
P21502_106_C12W1_1	Yes	Yes	ed	GP2-4_32	Yes	Yes	Yes	116
P21502_106_C12W1_2	Yes	Yes	ee	GP2-4_32	Yes	Yes	Yes	117
P21502_119_C12W1_3	Yes	Yes	ef	GP2-4_54	Yes	Yes	Yes	118
P21502_104_C12W1_2	Yes	Yes	eg	GP2-4_29	Yes	Yes	Yes	8
P21502_112_C12W1_1	Yes	Yes	eh	GP2-4_43	Yes	Yes	Yes	18
