Barcode	Total
R05_C12W1_1	0
R05_C12W1_2	0
P21502_101_C12W1_1*	299
P21502_101_C12W1_2	283
P21502_102_C12W1_1	167
P21502_102_C12W1_2	168
P21502_103_C12W1_1	0
P21502_103_C12W1_2**	58
P21502_104_C12W1_1	8
P21502_104_C12W1_2	0
P21502_105_C12W1_1	74
P21502_105_C12W1_2	80
P21502_106_C12W1_1	14
P21502_106_C12W1_2	0
P21502_108_C12W1_1*	24
P21502_108_C12W1_2	0
P21502_109_C12W1_1	17
P21502_109_C12W1_2	21
P21502_111_C12W1_1	33
P21502_111_C12W1_2	36
P21502_112_C12W1_1	24
P21502_112_C12W1_2**	58
P21502_113_C12W1_1	273
P21502_113_C12W1_2	0
P21502_114_C12W1_1	0
P21502_114_C12W1_2	0
P21502_116_C12W1_1*	105
P21502_116_C12W1_2	0
P21502_117_C12W1_1	9
P21502_117_C12W1_2	0
P21502_118_C12W1_1	126
P21502_118_C12W1_2	160
P21502_119_C12W1_1	0
P21502_119_C12W1_2	0
P21502_119_C12W1_3	0
P21502_120_C12W1_1	0
P21502_120_C12W1_2	0
P21502_121_C12W1_1	0
P21502_121_C12W1_2**	873
P21502_122_C12W1_1	0
P21502_122_C12W1_2	19
P21502_123_C12W1_1	16
P21502_123_C12W1_2	0
P21502_124_C12W1_1	181
P21502_124_C12W1_2	48
P21502_125_C12W1_1	149
P21502_125_C12W1_2	128
P21502_126_C12W1_1	0
P21502_126_C12W1_2	0
P21502_127_C12W1_1*	15466
P21502_127_C12W1_2	0
P21502_128_C12W1_1	0
P21502_128_C12W1_2	19
P21502_107_C12W1_1*	299
P21502_107_C12W1_2	104
P21502_110_C12W1_1	137
P21502_110_C12W1_2**	873
P21502_129_C12W1_1	112
P21502_129_C12W1_2	86
P21502_130_C12W1_1	325
P21502_130_C12W1_2	88
P21502_131_C12W1_1	34
P21502_131_C12W1_2	46
P21502_132_C12W1_1	213
P21502_132_C12W1_2	75
P21502_133_C12W1_1	40
P21502_133_C12W1_2	35
P21502_134_C12W1_1	104
P21502_134_C12W1_2	0
P21502_135_C12W1_1	172
P21502_135_C12W1_2	116
P21502_136_C12W1_1	34
P21502_136_C12W1_2**	58
P21502_137_C12W1_1	318
P21502_137_C12W1_2	288
P21502_138_C12W1_1	79
P21502_138_C12W1_2	68
P21502_139_C12W1_1	128
P21502_139_C12W1_2	95
P21502_140_C12W1_1	863
P21502_140_C12W1_2	837
P21502_141_C12W1_1	134
P21502_141_C12W1_2	128
P21502_141_C12W1_3	130
P21502_142_C12W1_1	17310
P21502_142_C12W1_2*	15466
P21502_143_C12W1_1	58
P21502_143_C12W1_2	76
P21502_144_C12W1_1	29
P21502_144_C12W1_2	39
P21502_145_C12W1_1	87
P21502_145_C12W1_2*	105
P21502_146_C12W1_1	59
P21502_146_C12W1_2	46
P21502_147_C12W1_1*	24
P21502_147_C12W1_2	16
P21502_148_C12W1_1	573
P21502_148_C12W1_2	428
P21502_149_C12W1_1	42
P21502_149_C12W1_2	33
P21502_150_C12W1_1	0
P21502_150_C12W1_2	46
P21502_151_C12W1_1	654
P21502_151_C12W1_2	704
P21502_152_C12W1_1**	873
P21502_152_C12W1_2	617
P21502_153_C12W1_1	8
P21502_153_C12W1_2	23
P21502_154_C12W1_1	8
P21502_154_C12W1_2	0
P21502_155_C12W1_1	0
P21502_155_C12W1_2	0
P21502_156_C12W1_1	163
P21502_156_C12W1_2	67
Unknown1_VGx_C12W1_1	152
Unknown1_VGx_C12W1_2	132
Unknown2_VGy_C12W1_1	0
Unknown2_VGy_C12W1_2	28
