Barcode	Total
R05_C12W1_1	0
R05_C12W1_2	0
P21502_101_C12W1_1*	473
P21502_101_C12W1_2	390
P21502_102_C12W1_1	161
P21502_102_C12W1_2	173
P21502_103_C12W1_1	0
P21502_103_C12W1_2**	66
P21502_104_C12W1_1	22
P21502_104_C12W1_2	0
P21502_105_C12W1_1	98
P21502_105_C12W1_2	89
P21502_106_C12W1_1	27
P21502_106_C12W1_2	0
P21502_108_C12W1_1*	16
P21502_108_C12W1_2	0
P21502_109_C12W1_1	21
P21502_109_C12W1_2	35
P21502_111_C12W1_1	54
P21502_111_C12W1_2	43
P21502_112_C12W1_1	39
P21502_112_C12W1_2**	66
P21502_113_C12W1_1	52
P21502_113_C12W1_2	0
P21502_114_C12W1_1	0
P21502_114_C12W1_2	15
P21502_116_C12W1_1*	88
P21502_116_C12W1_2	7
P21502_117_C12W1_1	21
P21502_117_C12W1_2	13
P21502_118_C12W1_1	177
P21502_118_C12W1_2	184
P21502_119_C12W1_1	0
P21502_119_C12W1_2	0
P21502_119_C12W1_3	0
P21502_120_C12W1_1	0
P21502_120_C12W1_2	7
P21502_121_C12W1_1	15
P21502_121_C12W1_2**	5620
P21502_122_C12W1_1	25
P21502_122_C12W1_2	35
P21502_123_C12W1_1	24
P21502_123_C12W1_2	0
P21502_124_C12W1_1	240
P21502_124_C12W1_2	54
P21502_125_C12W1_1	173
P21502_125_C12W1_2	172
P21502_126_C12W1_1	0
P21502_126_C12W1_2	9
P21502_127_C12W1_1*	1356
P21502_127_C12W1_2	0
P21502_128_C12W1_1	0
P21502_128_C12W1_2	30
P21502_107_C12W1_1*	473
P21502_107_C12W1_2	154
P21502_110_C12W1_1	181
P21502_110_C12W1_2**	5620
P21502_129_C12W1_1	73
P21502_129_C12W1_2	68
P21502_130_C12W1_1	262
P21502_130_C12W1_2	73
P21502_131_C12W1_1	14
P21502_131_C12W1_2	23
P21502_132_C12W1_1	128
P21502_132_C12W1_2	51
P21502_133_C12W1_1	33
P21502_133_C12W1_2	21
P21502_134_C12W1_1	88
P21502_134_C12W1_2	0
P21502_135_C12W1_1	134
P21502_135_C12W1_2	116
P21502_136_C12W1_1	20
P21502_136_C12W1_2**	66
P21502_137_C12W1_1	239
P21502_137_C12W1_2	433
P21502_138_C12W1_1	51
P21502_138_C12W1_2	37
P21502_139_C12W1_1	74
P21502_139_C12W1_2	54
P21502_140_C12W1_1	767
P21502_140_C12W1_2	675
P21502_141_C12W1_1	89
P21502_141_C12W1_2	87
P21502_141_C12W1_3	116
P21502_142_C12W1_1	1444
P21502_142_C12W1_2*	1356
P21502_143_C12W1_1	43
P21502_143_C12W1_2	35
P21502_144_C12W1_1	19
P21502_144_C12W1_2	15
P21502_145_C12W1_1	87
P21502_145_C12W1_2*	88
P21502_146_C12W1_1	31
P21502_146_C12W1_2	21
P21502_147_C12W1_1*	16
P21502_147_C12W1_2	0
P21502_148_C12W1_1	360
P21502_148_C12W1_2	287
P21502_149_C12W1_1	29
P21502_149_C12W1_2	14
P21502_150_C12W1_1	34
P21502_150_C12W1_2	29
P21502_151_C12W1_1	492
P21502_151_C12W1_2	427
P21502_152_C12W1_1**	5620
P21502_152_C12W1_2	5352
P21502_153_C12W1_1	11
P21502_153_C12W1_2	10
P21502_154_C12W1_1	0
P21502_154_C12W1_2	0
P21502_155_C12W1_1	0
P21502_155_C12W1_2	0
P21502_156_C12W1_1	87
P21502_156_C12W1_2	46
Unknown1_VGx_C12W1_1	151
Unknown1_VGx_C12W1_2	126
Unknown2_VGy_C12W1_1	0
Unknown2_VGy_C12W1_2	23
