Barcode	Total
R05_C12W1_1	0
R05_C12W1_2	0
P21502_101_C12W1_1*	0
P21502_101_C12W1_2	0
P21502_102_C12W1_1	0
P21502_102_C12W1_2	0
P21502_103_C12W1_1	0
P21502_103_C12W1_2**	291
P21502_104_C12W1_1	0
P21502_104_C12W1_2	0
P21502_105_C12W1_1	0
P21502_105_C12W1_2	0
P21502_106_C12W1_1	0
P21502_106_C12W1_2	0
P21502_108_C12W1_1*	25
P21502_108_C12W1_2	0
P21502_109_C12W1_1	0
P21502_109_C12W1_2	0
P21502_111_C12W1_1	0
P21502_111_C12W1_2	0
P21502_112_C12W1_1	0
P21502_112_C12W1_2**	291
P21502_113_C12W1_1	0
P21502_113_C12W1_2	0
P21502_114_C12W1_1	0
P21502_114_C12W1_2	0
P21502_116_C12W1_1*	689
P21502_116_C12W1_2	0
P21502_117_C12W1_1	0
P21502_117_C12W1_2	0
P21502_118_C12W1_1	0
P21502_118_C12W1_2	0
P21502_119_C12W1_1	0
P21502_119_C12W1_2	0
P21502_119_C12W1_3	0
P21502_120_C12W1_1	0
P21502_120_C12W1_2	0
P21502_121_C12W1_1	0
P21502_121_C12W1_2**	380
P21502_122_C12W1_1	0
P21502_122_C12W1_2	0
P21502_123_C12W1_1	0
P21502_123_C12W1_2	0
P21502_124_C12W1_1	0
P21502_124_C12W1_2	0
P21502_125_C12W1_1	0
P21502_125_C12W1_2	0
P21502_126_C12W1_1	0
P21502_126_C12W1_2	0
P21502_127_C12W1_1*	6472
P21502_127_C12W1_2	0
P21502_128_C12W1_1	0
P21502_128_C12W1_2	0
P21502_107_C12W1_1*	0
P21502_107_C12W1_2	0
P21502_110_C12W1_1	0
P21502_110_C12W1_2**	380
P21502_129_C12W1_1	828
P21502_129_C12W1_2	796
P21502_130_C12W1_1	717
P21502_130_C12W1_2	213
P21502_131_C12W1_1	233
P21502_131_C12W1_2	193
P21502_132_C12W1_1	1334
P21502_132_C12W1_2	507
P21502_133_C12W1_1	232
P21502_133_C12W1_2	204
P21502_134_C12W1_1	444
P21502_134_C12W1_2	183
P21502_135_C12W1_1	1325
P21502_135_C12W1_2	1142
P21502_136_C12W1_1	156
P21502_136_C12W1_2**	291
P21502_137_C12W1_1	1771
P21502_137_C12W1_2	1745
P21502_138_C12W1_1	566
P21502_138_C12W1_2	635
P21502_139_C12W1_1	790
P21502_139_C12W1_2	601
P21502_140_C12W1_1	3037
P21502_140_C12W1_2	2562
P21502_141_C12W1_1	645
P21502_141_C12W1_2	954
P21502_141_C12W1_3	1136
P21502_142_C12W1_1	6244
P21502_142_C12W1_2*	6472
P21502_143_C12W1_1	386
P21502_143_C12W1_2	460
P21502_144_C12W1_1	223
P21502_144_C12W1_2	203
P21502_145_C12W1_1	457
P21502_145_C12W1_2*	689
P21502_146_C12W1_1	257
P21502_146_C12W1_2	187
P21502_147_C12W1_1*	25
P21502_147_C12W1_2	59
P21502_148_C12W1_1	3676
P21502_148_C12W1_2	2842
P21502_149_C12W1_1	192
P21502_149_C12W1_2	104
P21502_150_C12W1_1	82
P21502_150_C12W1_2	257
P21502_151_C12W1_1	5464
P21502_151_C12W1_2	5102
P21502_152_C12W1_1**	380
P21502_152_C12W1_2	335
P21502_153_C12W1_1	0
P21502_153_C12W1_2	0
P21502_154_C12W1_1	0
P21502_154_C12W1_2	0
P21502_155_C12W1_1	0
P21502_155_C12W1_2	13
P21502_156_C12W1_1	1336
P21502_156_C12W1_2	509
Unknown1_VGx_C12W1_1	1135
Unknown1_VGx_C12W1_2	1092
Unknown2_VGy_C12W1_1	39
Unknown2_VGy_C12W1_2	84
