"Population"	"Treatment"	"Strain"	"Barcode_mean"	"Barcode_N"	"Barcode_High"	"Barcode_Low"	"Growth_Rate"	"High"	"Low"
"51"	"VG"	"Control"	"VG1-2_88"	1.41767158075973	5	1.51516237331523	1.32018078820424	1.46297308	1.67623935	1.24970681
"52"	"VG"	"Control"	"VG1-2_89"	1.3802982470546	5	1.52807929502159	1.23251719908762	0.697779429	0.883366255	0.512192603
"53"	"VG"	"Control"	"VG1-2_90"	1.75669167081385	5	1.83725065582861	1.67613268579909	1.533480638	1.599528328	1.467432948
"54"	"VG"	"Control"	"VG1-2_93"	1.4045034396425	5	1.54428737706031	1.26471950222469	1.359448225	1.578955615	1.139940835
"55"	"VG"	"Control"	"VG1-2_94"	1.57360870158285	5	1.62086589806962	1.52635150509608	1.42832058	1.488112357	1.368528803
"56"	"VG"	"Control"	"VG1-2_95"	2.00166993060076	5	2.03631302873538	1.96702683246614	1.416569635	1.502137795	1.331001475
"57"	"VG"	"Control"	"VG1-2_99or65"	1.81762473986514	5	1.85583259851623	1.77941688121405	NA	NA	NA
"58"	"GP"	"Copper"	"GP2-4_26"	0.666689461394004	5	0.789631244241527	0.543747678546481	0.217556988	0.465151921	-0.030037944
"59"	"GP"	"Copper"	"GP2-4_27"	0.634148183059049	5	0.69672691615167	0.571569449966428	0.211437738	0.42317029	-0.000294814
"60"	"GP"	"Copper"	"GP2-4_28"	-0.0500859278606572	5	0.079920986579652	-0.180092842300967	0.018789594	0.062701856	-0.025122668
"61"	"GP"	"Copper"	"GP2-4_29"	0.211435139264682	5	0.260408178728277	0.162462099801087	0.021135867	0.555805514	-0.513533781
"62"	"GP"	"Copper"	"GP2-4_31"	0.565187669003469	5	0.653138461162124	0.477236876844815	0.351473648	0.545382743	0.157564553
"63"	"GP"	"Copper"	"GP2-4_32"	0.503352369710854	5	0.570546544733895	0.436158194687812	0.482624534	0.633011456	0.332237611
"64"	"GP"	"Copper"	"GP2-4_39"	0.455825506503711	5	0.483524835163602	0.42812617784382	0.241176789	0.342727929	0.139625649
"65"	"GP"	"Copper"	"GP2-4_40"	0.354694086591794	5	0.487040225620802	0.222347947562786	0	0	0
"66"	"GP"	"Copper"	"GP2-4_42"	0.517792458406026	5	0.565770659527957	0.469814257284095	0.000208093	0.005873773	-0.005457587
"67"	"GP"	"Copper"	"GP2-4_43"	0.313202917600388	5	0.403455438162955	0.222950397037821	0.206122857	0.33681963	0.075426084
"68"	"GP"	"Copper"	"GP2-4_44"	0.0312741973478206	5	0.203783738844799	-0.141235344149158	0.415173458	0.618961167	0.21138575
"69"	"GP"	"Copper"	"GP2-4_45and46"	-0.0271916793187308	5	0.0875000644494118	-0.141883423086873	NA	NA	NA
"70"	"GP"	"Copper"	"GP2-4_47"	0.102109200346489	5	0.244049833644004	-0.0398314329510258	0.30133428	0.429620141	0.173048418
"71"	"GP"	"Copper"	"GP2-4_51"	-0.0436966574633825	5	0.0865317763698903	-0.173925091296655	0.144606905	0.328602959	-0.039389149
"72"	"GP"	"Copper"	"GP2-4_52"	0.598886495981217	5	0.671680221902594	0.526092770059841	0.261247176	0.375496657	0.146997695
"73"	"GP"	"Copper"	"GP2-4_54"	-0.101183458894747	5	-0.0153480602864608	-0.187018857503033	0.48121449	0.668659572	0.293769407
"74"	"GP"	"Copper"	"GP2-4_55"	0.033455745576509	5	0.212498855911038	-0.14558736475802	0.239035633	0.346779092	0.131292173
"75"	"GP"	"Copper"	"GP2-4_56"	0.0229891373422206	5	0.183748627096309	-0.137770352411868	0.866196045	3.838472684	-2.106080593
"76"	"GP"	"Copper"	"GP2-4_57"	0.0240786184557325	5	0.149338286916743	-0.101181050005278	0.149143187	0.222071961	0.076214413
"77"	"GP"	"Copper"	"GP2-4_61"	0.372883992305444	5	0.476790141028326	0.268977843582563	0.555998526	0.639398624	0.472598428
"78"	"GP"	"Copper"	"GP2-4_63"	0.573375891442009	5	0.626257789593719	0.5204939932903	0.605065429	0.751613687	0.458517171
"79"	"GP"	"Copper"	"GP2-4_67"	0.619944326144212	5	0.680809371912414	0.559079280376011	0.585375499	0.733811384	0.436939615
"80"	"GP"	"Copper"	"GP2-4_68"	-0.13229628451351	5	-0.0398275768516902	-0.224764992175331	0.133968223	0.243743814	0.024192632
"81"	"GP"	"Copper"	"GP2-4_69"	0.258448557214206	5	0.352383808886857	0.164513305541554	0.215318991	0.350212705	0.080425277
"82"	"GP"	"Copper"	"GP2-4_70"	0.531322132725492	5	0.617046565616019	0.445597699834964	0.425175051	0.60917911	0.241170992
"83"	"GP"	"Copper"	"GP2-4_71"	0.558163076051246	5	0.658255038246102	0.458071113856391	0.070113404	0.322241105	-0.182014297
"84"	"GP"	"Copper"	"GP2-4_72"	0.703527558018511	5	0.782289363565941	0.624765752471081	0.64012299	0.841261753	0.438984228
"85"	"VG"	"Copper"	"VG1-2_103"	-0.072957473107255	5	0.0855362364120787	-0.231451182626589	0.41404131	0.552440957	0.275641663
"86"	"VG"	"Copper"	"VG1-2_104"	-0.072957473107255	5	0.0855362364120787	-0.231451182626589	0.694537723	0.801168272	0.587907174
"87"	"VG"	"Copper"	"VG1-2_105"	0.486734333406052	5	0.635263162903436	0.338205503908668	1.083280252	1.252933902	0.913626602
"88"	"VG"	"Copper"	"VG1-2_106"	-0.072957473107255	5	0.0855362364120787	-0.231451182626589	0.377275569	0.55233719	0.202213949
"89"	"VG"	"Copper"	"VG1-2_107"	-0.072957473107255	5	0.0855362364120787	-0.231451182626589	0.562280584	0.667188362	0.457372807
"90"	"VG"	"Copper"	"VG1-2_44"	-0.0360396176785925	5	0.144272191296722	-0.216351426653907	0.17394503	0.276211539	0.071678521
"91"	"VG"	"Copper"	"VG1-2_45"	0.687046812592125	5	0.745001198553845	0.629092426630405	0.415784822	0.515255226	0.316314418
"92"	"VG"	"Copper"	"VG1-2_49"	0.31112873744053	5	0.393410234162643	0.228847240718417	0.038503778	0.11747054	-0.040462985
"93"	"VG"	"Copper"	"VG1-2_56"	0.402475590985086	5	0.7864988587443	0.0184523232258729	0.450193352	0.612297184	0.28808952
"94"	"VG"	"Copper"	"VG1-2_58"	0.022446613622702	5	0.240576843338674	-0.195683616093269	0.417110871	0.525531506	0.308690236
"95"	"VG"	"Copper"	"VG1-2_61"	0.25097272259531	5	0.56330672069159	-0.0613612755009691	0.171089582	0.247112728	0.095066437
"96"	"VG"	"Copper"	"VG1-2_63"	0.0684905266178601	5	0.295128410331394	-0.158147357095674	0.131234699	0.269205624	-0.006736226
"97"	"VG"	"Copper"	"VG1-2_64"	0.101397648938877	5	0.199756444590158	0.00303885328759512	0.289292987	0.386716073	0.191869902
"98"	"VG"	"Copper"	"VG1-2_65or99"	0.135887354182741	5	0.391421140071772	-0.11964643170629	NA	NA	NA
"99"	"VG"	"Copper"	"VG1-2_66"	0.463841758943456	5	0.540294684139888	0.387388833747023	0.533764581	0.684059489	0.383469673
"100"	"VG"	"Copper"	"VG1-2_67"	0.0975922053327346	5	0.343238401288505	-0.148053990623036	0.000270072	0.001983457	-0.001443314
"101"	"VG"	"Copper"	"VG1-2_72"	0.135565306207792	5	0.241689984660613	0.0294406277549702	0.286429398	0.407841708	0.165017088
"102"	"VG"	"Copper"	"VG1-2_74"	0.809186055328471	5	0.891102305615663	0.727269805041278	0.947070791	1.031705048	0.862436534
"103"	"VG"	"Copper"	"VG1-2_78"	-0.0431410505364456	5	0.148002495175118	-0.234284596248009	0.256075738	0.356390331	0.155761146
"104"	"VG"	"Copper"	"VG1-2_81"	0.818620984887636	5	0.901915384384808	0.735326585390465	1.379102251	1.442606389	1.315598112
"105"	"VG"	"Copper"	"VG1-2_83"	-0.072957473107255	5	0.0855362364120787	-0.231451182626589	0.228603946	0.326410448	0.130797444
"106"	"VG"	"Copper"	"VG1-2_85"	-0.072957473107255	5	0.0855362364120787	-0.231451182626589	0.267448781	0.373114739	0.161782824
"107"	"VG"	"Copper"	"VG1-2_86"	0.0268506302809095	5	0.106551340590083	-0.052850080028264	0.269024409	0.381531418	0.156517399
"108"	"VG"	"Copper"	"VG1-2_88"	0.140162886676926	5	0.395557900295718	-0.115232126941867	0.465539105	0.589724344	0.341353866
"109"	"VG"	"Copper"	"VG1-2_89"	-0.0351940248788538	5	0.147084274478297	-0.217472324236004	0.660017388	0.81877846	0.501256317
"110"	"VG"	"Copper"	"VG1-2_90"	0.084223880899632	5	0.338450934397949	-0.170003172598685	0.47733727	0.553886974	0.400787566
"111"	"VG"	"Copper"	"VG1-2_93"	-0.0605333248127647	5	0.109797715853411	-0.23086436547894	0.1757226	0.322168458	0.029276742
"112"	"VG"	"Copper"	"VG1-2_94"	-0.072957473107255	5	0.0855362364120787	-0.231451182626589	0.13901954	0.200302477	0.077736603
"113"	"VG"	"Copper"	"VG1-2_95"	0.138714061605207	5	0.396576026157137	-0.119147902946723	0.685614092	0.950250132	0.420978053
"114"	"VG"	"Copper"	"VG1-2_99or65"	0.492683136769775	5	0.57360817847526	0.411758095064289	NA	NA	NA
