Barcode	Total
P21502_101_C2W24_1	2499
P21502_101_C2W24_2	1
P21502_102_C2W24_1	2499
P21502_102_C2W24_2	0
P21502_103_C2W24_1	2343
P21502_103_C2W24_2	1191
P21502_104_C2W24_1	1868
P21502_104_C2W24_2	0
P21502_105_C2W24_1	1017
P21502_105_C2W24_2	2343
P21502_108_C2W24_1	1868
P21502_108_C2W24_2	118
P21502_109_C2W24_1	0
P21502_109_C2W24_2	0
P21502_111_C2W24_1	5621
P21502_112_C2W24_1	1868
P21502_112_C2W24_2	0
P21502_113_C2W24_1	2343
P21502_113_C2W24_2	1017
P21502_114_C2W24_1	294
P21502_115_C2W24_1	294
P21502_116_C2W24_1	0
P21502_116_C2W24_2	1191
P21502_117_C2W24_1	3
P21502_117_C2W24_2	0
P21502_118_C2W24_1	1017
P21502_118_C2W24_2	0
P21502_119_C2W24_1	0
P21502_119_C2W24_2	0
P21502_120_C2W24_1	1923
P21502_120_C2W24_2	5621
P21502_121_C2W24_1	0
P21502_121_C2W24_2	0
P21502_122_C2W24_1	4
P21502_122_C2W24_2	0
P21502_123_C2W24_1	5621
P21502_123_C2W24_2	0
P21502_124_C2W24_1	1868
P21502_124_C2W24_2	294
P21502_125_C2W24_1	0
P21502_125_C2W24_2	118
P21502_126_C2W24_1	0
P21502_127_C2W24_1	0
P21502_127_C2W24_2	1
P21502_128_C2W24_1	294
P21502_128_C2W24_2	0
P21502_107_C2W24_1	0
P21502_107_C2W24_2	1191
P21502_110_C2W24_1	0
P21502_129_C2W24_1	294
P21502_129_C2W24_2	49
P21502_130_C2W24_1	267
P21502_130_C2W24_2	31
P21502_131_C2W24_1	39
P21502_132_C2W24_1	1017
P21502_132_C2W24_2	31
P21502_133_C2W24_1	2499
P21502_133_C2W24_2	0
P21502_134_C2W24_1	242
P21502_134_C2W24_2	73
P21502_135_C2W24_1	1923
P21502_135_C2W24_2	0
P21502_136_C2W24_1	2343
P21502_136_C2W24_2	294
P21502_137_C2W24_1	1474
P21502_137_C2W24_2	118
P21502_138_C2W24_1	779
P21502_139_C2W24_1	2499
P21502_139_C2W24_2	274
P21502_140_C2W24_1	1191
P21502_141_C2W24_1	565
P21502_141_C2W24_2	86
P21502_141_C2W24_3	0
P21502_142_C2W24_1	0
P21502_143_C2W24_1	1017
P21502_143_C2W24_2	372
P21502_144_C2W24_1	153
P21502_144_C2W24_2	5
P21502_145_C2W24_1	2343
P21502_146_C2W24_1	264
P21502_146_C2W24_2	0
P21502_146_C2W24_3	0
P21502_147_C2W24_1	118
P21502_148_C2W24_1	1868
P21502_148_C2W24_2	5621
P21502_149_C2W24_1	0
P21502_149_C2W24_2	0
P21502_149_C2W24_3	0
P21502_150_C2W24_1	229
P21502_151_C2W24_1	5621
P21502_151_C2W24_2	1970
P21502_152_C2W24_1	0
P21502_153_C2W24_1	0
P21502_153_C2W24_2	0
P21502_154_C2W24_1	2343
P21502_155_C2W24_1	12
P21502_155_C2W24_2	1
P21502_156_C2W24_1	2499
P21502_156_C2W24_2	0
P21502_156_C2W24_3	0
