Barcode	Strain_copies	Uniqe_pop	Homologs	Strain	Keep_VG	Keep_GP	Keep_1copy	Index
P21502_145_C2W24_1	6	No	aj	VG1-2_86	No	No	No	79
P21502_146_C2W24_1	1	Yes	bs	VG1-2_88	Yes	Yes	Yes	80
P21502_146_C2W24_2	4	No	af	VG1-2_88	No	No	No	81
P21502_146_C2W24_3	2	No	ak	VG1-2_88	No	No	Yes	82
P21502_147_C2W24_1	4	No	ab	VG1-2_89	No	No	No	83
P21502_148_C2W24_1	5	No	aa	VG1-2_90	No	No	No	84
P21502_148_C2W24_2	5	No	ag	VG1-2_90	No	No	No	85
P21502_149_C2W24_1	1	Yes	bt	VG1-2_93	Yes	Yes	Yes	86
P21502_149_C2W24_2	1	Yes	bu	VG1-2_93	Yes	Yes	Yes	87
P21502_149_C2W24_3	1	Yes	bv	VG1-2_93	Yes	Yes	Yes	88
P21502_150_C2W24_1	1	Yes	bw	VG1-2_94	Yes	Yes	Yes	89
P21502_151_C2W24_1	5	No	ag	VG1-2_95	No	No	No	90
P21502_151_C2W24_2	1	Yes	bx	VG1-2_95	Yes	Yes	Yes	91
P21502_152_C2W24_1	1	Yes	by	VG1-2_103	Yes	Yes	Yes	92
P21502_153_C2W24_1	2	No	ak	VG1-2_104	No	No	No	93
P21502_153_C2W24_2	4	No	af	VG1-2_104	No	No	No	94
P21502_154_C2W24_1	6	No	aj	VG1-2_105	No	No	No	95
P21502_155_C2W24_1	1	Yes	bz	VG1-2_106	Yes	Yes	Yes	96
P21502_155_C2W24_2	1	Yes	ca	VG1-2_106	Yes	Yes	Yes	97
P21502_156_C2W24_1	5	No	al	VG1-2_107	No	No	No	98
P21502_156_C2W24_2	1	Yes	cb	VG1-2_107	Yes	Yes	Yes	99
P21502_156_C2W24_3	1	Yes	cd	VG1-2_107	Yes	Yes	Yes	100
