"ID"	"Hits"	"Unknown"	"Fraction"	"Total"	"Raw.Reads"	"X..Q30..."	"Fraction2"	"All_allels_total"	"NonUniqe_Fraction"
"P21502_144"	8096	2583	0.758123419795861	10679	78375	77.68	0.103298245614035	8096	0
"P21502_145"	6066	1410	0.81139646869984	7476	24206	77.65	0.250599025035115	6066	0
"P21502_146"	74	19	0.795698924731183	93	80490	77.97	0.000919368865697602	74	0
"P21502_147"	222	122	0.645348837209302	344	65663	74.88	0.00338089944108554	222	0
"P21502_148"	7735	2168	0.781076441482379	9903	33257	77.46	0.232582614186487	7735	0
"P21502_149"	1	29	0.0333333333333333	30	60663	72.8	1.64845128002242e-05	1	0
"P21502_150"	5003	1374	0.784538184099106	6377	43265	63.05	0.115636195539119	5003	0
"P21502_151"	8788	2834	0.756152125279642	11622	66136	76.13	0.132877706544091	8788	0
"P21502_152"	0	11	0	11	21647	67.67	0	0	NA
"P21502_153"	6476	1746	0.787642909267818	8222	33696	77.95	0.192188983855651	6476	0
"P21502_154"	499	105	0.826158940397351	604	51960	74.21	0.00960354118552733	499	0
"P21502_155"	1516	463	0.766043456291056	1979	32033	75.37	0.047326194861549	1516	0
"P21502_156"	4104	957	0.810906935388263	5061	28856	75.32	0.142223454394233	4104	0
"P21502_157"	1204	244	0.831491712707182	1448	44765	75.65	0.0268960125097733	1204	0
"P21502_158"	3	7	0.3	10	25076	71.44	0.000119636305630882	3	0
"P21502_159"	16601	2920	0.850417499103529	19521	92261	76.64	0.179935183880513	16601	0
"P21502_160"	38	25	0.603174603174603	63	38780	76.29	0.000979886539453327	38	0
"P21502_161"	0	77	0	77	31031	75.52	0	0	NA
"P21502_162"	0	0	NA	0	20330	73.53	0	0	NA
"P21502_163"	0	228	0	228	207817	75.86	0	0	NA
"P21502_164"	0	13	0	13	30532	70.35	0	0	NA
"P21502_165"	5	84	0.0561797752808989	89	13253	68.18	0.000377273070248246	5	0
"P21502_166"	0	2	0	2	10358	71.47	0	0	NA
"P21502_225"	13150	12493	0.512810513590453	25643	81764	72.47	0.160828726578934	32864	0.59986611489776
"P21502_226"	11620	10425	0.527103651621683	22045	119018	57.56	0.0976322909139794	29847	0.610681140483131
"P21502_227"	14332	13342	0.517886825178868	27674	124568	62.49	0.115053625329138	36297	0.605146430834504
"P21502_228"	9977	7065	0.58543598169229	17042	94012	62.7	0.106124750031911	23768	0.58023392797038
"P21502_229"	13339	11601	0.534843624699278	24940	76346	74.99	0.17471773242868	30010	0.555514828390536
"P21502_230"	12913	8268	0.609650158160616	21181	89464	68.5	0.144337387105428	29797	0.566634224921972
"P21502_231"	2892	2833	0.505152838427948	5725	153481	43.93	0.0188427232035236	9497	0.695482784037064
"P21502_233"	21265	8592	0.712228288173628	29857	69886	74.92	0.304281258048822	23084	0.0787991682550684
"P21502_235"	17976	7237	0.712965533653274	25213	118829	58.13	0.151276203620328	19894	0.0964109781843772
"P21502_236"	22104	8408	0.724436287362349	30512	75747	75.01	0.291813537169789	24401	0.0941354862505635
"P21502_237"	8082	2838	0.74010989010989	10920	160210	43.16	0.0504462892453655	9087	0.110597556949488
"P21502_238"	0	0	NA	0	269	49.43	0	0	NA
"P21502_239"	3208	2143	0.599514109512241	5351	71148	69.44	0.045089110024175	3233	0.00773275595422209
"P21502_240"	2491	2131	0.538944180008654	4622	64687	69.38	0.0385085102107069	2530	0.0154150197628458
"P21502_241"	4516	1668	0.730271668822768	6184	254532	44.56	0.0177423663822231	4582	0.0144041903099083
"P21502_242"	2890	1192	0.707986281234689	4082	149010	49.49	0.0193946714985571	3195	0.0954616588419405
"P21502_243"	35536	15699	0.693588367327023	51235	91994	78.01	0.386286062134487	35541	0.000140682591936074
"P21502_244"	14258	5730	0.713327996798079	19988	85321	68.86	0.167110090130214	14258	0
"P21502_245"	470	565	0.454106280193237	1035	64646	67.96	0.00727036475574668	471	0.00212314225053079
"P21502_246"	3243	3815	0.459478605837348	7058	68720	74.52	0.0471915017462165	3255	0.00368663594470046
